name,year,form,status,bytes,mdna_words,rf_words,mdna_src,n_ex13,full_bytes,era,rf_applicable
Watsco,1998,10-K405,200,11085,1911,0,EX-13,1.0,152520.0,1998-00,False
Watsco,2001,10-K405,200,171332,3083,0,EX-13,1.0,171332.0,2001-05,False
Watsco,2004,10-K,200,169346,2338,0,EX-13,1.0,868711.0,2001-05,False
Watsco,2007,10-K,200,175178,1736,1322,EX-13,1.0,886737.0,2006-10,True
Watsco,2010,10-K,200,185690,1894,1918,EX-13,1.0,1531650.0,2006-10,True
Watsco,2013,10-K,200,231102,2736,1820,EX-13,1.0,8484907.0,2011-18,True
Watsco,2016,10-K,200,219911,2669,1919,EX-13,1.0,5961723.0,2011-18,True
Watsco,2019,10-K,200,226732,2753,3167,EX-13,1.0,11969336.0,2019-24,True
Watsco,2022,10-K,200,603660,3524,3657,EX-13,1.0,11575320.0,2019-24,True
Watsco,2024,10-K,200,534891,3574,3273,EX-13,1.0,11190726.0,2019-24,True
Toro,1998,10-K405,200,11789,5795,0,EX-13,1.0,301257.0,1998-00,False
Toro,2001,10-K405,200,221303,6893,0,,,,2001-05,False
Toro,2004,10-K,200,860980,8718,0,,,,2001-05,False
Toro,2007,10-K,200,2063337,8803,5802,,,,2006-10,True
Toro,2010,10-K,200,1303559,8889,6866,,,,2006-10,True
Toro,2013,10-K,200,1426223,9410,8480,,,,2011-18,True
Toro,2016,10-K,200,2401042,8439,9315,,,,2011-18,True
Toro,2019,10-K,200,3581814,4189,11696,,,,2019-24,True
Toro,2022,10-K,200,3149398,13339,11563,,,,2019-24,True
Toro,2024,10-K,200,2497895,11358,12545,,,,2019-24,True
Graco,1998,10-K,200,12121,2459,0,10-K body,0.0,294199.0,1998-00,False
Graco,2001,10-K,200,312809,2569,0,,,,2001-05,False
Graco,2004,10-K,200,767870,6665,0,,,,2001-05,False
Graco,2007,10-K,200,569626,4831,598,,,,2006-10,True
Graco,2010,10-K,200,691153,5801,791,,,,2006-10,True
Graco,2013,10-K,200,1399741,6767,1771,,,,2011-18,True
Graco,2016,10-K,200,2139701,7504,2122,,,,2011-18,True
Graco,2019,10-K,200,2119324,6339,2569,,,,2019-24,True
Graco,2022,10-K,200,2392390,4076,3782,,,,2019-24,True
Graco,2024,10-K,200,1856256,4043,5439,,,,2019-24,True
LancasterColony,1998,10-K405,200,11421,1883,0,EX-13,1.0,209866.0,1998-00,False
LancasterColony,2001,10-K405,200,46238,1925,0,EX-13,1.0,149437.0,2001-05,False
LancasterColony,2004,10-K,200,202483,6662,0,,,,2001-05,False
LancasterColony,2007,10-K,200,733649,9334,2738,,,,2006-10,True
