etf,since,n,excess_vs_IJH,TE,IR,alpha,t_alpha,HML,RMW,CMA,MOM,SMB
XMMO,2019-07,85,3.6,9.2,0.39,-0.1,-0.0,0.08,-0.05,-0.06,0.39,0.43
XMHQ,2019-07,85,2.4,6.2,0.38,0.2,0.1,0.08,0.22,0.01,0.04,0.48
XMVM,2019-07,85,3.1,7.4,0.41,-0.7,-0.4,0.49,0.31,-0.09,-0.04,0.62
IMCV,2005-01,259,-0.4,5.6,-0.08,-0.9,-1.1,0.35,0.16,0.18,-0.11,0.25
IMCG,2005-01,259,1.0,6.4,0.15,0.2,0.1,-0.24,-0.07,-0.08,0.07,0.36
VOE,2007-01,235,-0.8,4.8,-0.16,-1.3,-1.2,0.24,0.17,0.17,-0.07,0.22
VOT,2007-01,235,-0.1,6.6,-0.01,-1.5,-1.0,-0.24,-0.07,-0.07,0.03,0.29
IJJ,2005-01,259,-0.4,3.4,-0.11,-1.1,-1.0,0.26,0.17,0.05,-0.04,0.55
IJK,2005-01,259,0.1,3.3,0.04,-0.8,-0.7,-0.02,0.08,-0.06,0.08,0.44
QVAL,2015-01,139,-0.4,9.5,-0.05,-4.0,-1.6,0.34,0.43,0.09,-0.06,0.43
QMOM,2016-01,127,1.1,13.2,0.08,-2.7,-0.9,-0.1,-0.23,0.13,0.49,0.56
AVMC,2023-01,32,0.9,2.2,0.43,-3.6,-1.5,0.26,0.09,0.26,0.15,0.41
