etf,since,n,excess,TE,IR,maxRelDD,alpha6,t_alpha,HML,RMW,MOM
EZM,2007-03,233,0.51,4.1,0.12,-14.5,-0.5,-0.4,0.22,0.21,-0.09
DON,2006-07,241,-0.54,5.7,-0.1,-22.4,-1.0,-0.8,0.35,0.22,-0.07
XMLV,2013-03,161,-1.8,8.1,-0.22,-39.9,-1.3,-0.7,0.15,0.41,0.16
JHMM,2015-10,130,0.22,2.9,0.08,-9.8,-2.3,-2.1,0.14,0.12,0.03
COWZ,2017-01,115,2.3,8.7,0.26,-20.7,0.7,0.4,0.26,0.24,-0.21
FNX,2007-06,230,0.41,3.3,0.13,-12.8,-0.9,-0.8,0.12,0.14,-0.02
VOE,2007-01,235,-0.77,4.8,-0.16,-22.5,-1.3,-1.2,0.24,0.17,-0.07
VOT,2007-01,235,-0.06,6.6,-0.01,-25.8,-1.5,-1.0,-0.24,-0.07,0.03
IMCV,2006-02,246,-0.28,5.7,-0.05,-27.7,-1.1,-1.2,0.35,0.16,-0.11
IMCG,2006-02,246,0.83,6.6,0.13,-25.6,-0.4,-0.3,-0.25,-0.07,0.06
IJJ,2006-02,246,-0.36,3.5,-0.1,-20.3,-1.3,-1.2,0.26,0.17,-0.04
IJK,2006-02,246,0.13,3.4,0.04,-15.7,-1.1,-0.9,-0.03,0.08,0.08
VFMF,2018-03,101,1.96,4.7,0.42,-13.3,-0.2,-0.2,0.33,0.18,0.11
