block,factor,size,2000-16 ann%,2000-16 t,2000-16 SR,2017-25 ann%,2017-25 t,2017-25 SR
VALUE,ebitda_mev,large,13.3,2.6,0.62,0.1,0.0,0.01
VALUE,ebitda_mev,small,13.1,2.5,0.61,2.3,0.4,0.13
VALUE,ebitda_mev,micro,16.1,3.4,0.82,5.2,0.7,0.24
VALUE,fcf_me,large,11.1,3.4,0.82,1.3,0.3,0.11
VALUE,fcf_me,small,10.0,2.9,0.71,3.8,0.9,0.29
VALUE,fcf_me,micro,15.2,3.5,0.85,5.3,0.8,0.25
VALUE,eqnpo_me,large,8.2,1.9,0.47,2.1,0.5,0.16
VALUE,eqnpo_me,small,8.8,2.1,0.51,3.8,0.8,0.26
VALUE,eqnpo_me,micro,11.0,2.4,0.58,10.7,1.6,0.54
QUALITY,gp_at,large,4.8,2.5,0.61,3.9,1.4,0.48
QUALITY,gp_at,small,6.9,3.3,0.79,5.2,1.5,0.49
QUALITY,gp_at,micro,10.1,4.9,1.19,3.7,0.8,0.26
QUALITY,op_at,large,7.8,3.5,0.84,4.4,1.5,0.49
QUALITY,op_at,small,10.1,4.0,0.97,5.4,1.4,0.48
QUALITY,op_at,micro,16.5,5.9,1.42,12.1,2.1,0.71
QUALITY,cop_at,large,7.4,3.8,0.92,4.1,1.9,0.65
QUALITY,cop_at,small,10.4,4.9,1.18,5.6,2.0,0.68
QUALITY,cop_at,micro,17.2,6.8,1.66,9.0,2.1,0.71
QUALITY,oaccruals_at,large,0.2,0.1,0.02,1.7,0.7,0.25
QUALITY,oaccruals_at,small,1.1,0.6,0.15,1.9,0.7,0.24
QUALITY,oaccruals_at,micro,2.9,1.2,0.29,-1.7,-0.4,-0.13
QUALITY,at_gr1,large,7.7,2.2,0.54,0.2,0.1,0.02
QUALITY,at_gr1,small,9.1,3.1,0.76,2.7,0.8,0.27
QUALITY,at_gr1,micro,6.6,2.5,0.61,11.2,3.1,1.02
QUALITY,netdebt_me,large,-4.2,-1.0,-0.25,2.0,0.5,0.18
QUALITY,netdebt_me,small,-4.8,-1.2,-0.28,-2.4,-0.5,-0.17
QUALITY,netdebt_me,micro,2.8,0.8,0.2,4.6,0.9,0.29
QUALITY,qmj,large,3.6,1.7,0.41,0.3,0.1,0.03
QUALITY,qmj,small,3.4,1.1,0.27,-0.7,-0.2,-0.05
QUALITY,qmj,micro,10.5,2.7,0.66,2.8,0.5,0.15
QUALITY,f_score,large,3.1,1.3,0.32,-1.3,-0.5,-0.15
QUALITY,f_score,small,3.0,1.0,0.23,0.8,0.2,0.08
QUALITY,f_score,micro,10.8,3.3,0.81,4.2,0.9,0.29
FMOM,niq_su,large,-1.2,-0.9,-0.23,2.0,1.1,0.36
FMOM,niq_su,small,1.3,0.9,0.22,3.1,1.5,0.49
FMOM,niq_su,micro,7.3,5.6,1.35,3.0,1.1,0.38
FMOM,niq_at_chg1,large,-1.7,-1.0,-0.25,1.2,0.6,0.21
FMOM,niq_at_chg1,small,-0.8,-0.5,-0.11,0.9,0.4,0.13
FMOM,niq_at_chg1,micro,6.1,4.4,1.08,-2.5,-0.9,-0.29
FMOM,ocf_at_chg1,large,-0.4,-0.3,-0.07,-0.6,-0.3,-0.11
FMOM,ocf_at_chg1,small,-2.9,-2.1,-0.5,0.4,0.2,0.06
FMOM,ocf_at_chg1,micro,3.4,2.9,0.71,-5.1,-1.8,-0.59
FMOM,ni_inc8q,large,0.9,0.6,0.14,0.9,0.4,0.14
FMOM,ni_inc8q,small,1.1,0.5,0.13,0.3,0.1,0.05
FMOM,ni_inc8q,micro,5.0,2.7,0.66,0.9,0.3,0.11
FMOM,ret_12_1,large,1.4,0.3,0.07,5.8,1.4,0.46
FMOM,ret_12_1,small,3.2,0.6,0.15,9.1,2.0,0.66
FMOM,ret_12_1,micro,11.5,2.1,0.5,8.9,1.4,0.47
