config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,14.854819863494344,3.5119932449243647,96,0.5611694578484246,49,0.6025974025974026
1,st7x2_rsinone_adx7>20,15.668961186971146,3.4714200910316872,95,0.5571955719557196,49,0.601038961038961
2,st7x2_rsinone_adx7>30,7.663034584732442,2.510458817080977,85,0.4947487936417826,41,0.49766233766233764
3,st7x2_rsinone_adx14>20,12.445100816830449,2.2418293284585675,77,0.4842463809253477,43,0.5116883116883116
4,st7x2_rsinone_adx14>30,2.39548635552569,1.1575248711739854,50,0.2705080896962816,25,0.28779220779220777
5,st7x2_rsi14>40_adxnone,14.854819863494344,3.5119932449243647,96,0.5611694578484246,49,0.6025974025974026
6,st7x2_rsi14>40_adx7>20,15.668961186971146,3.4714200910316872,95,0.5571955719557196,49,0.601038961038961
7,st7x2_rsi14>40_adx7>30,7.663034584732442,2.510458817080977,85,0.4947487936417826,41,0.49766233766233764
8,st7x2_rsi14>40_adx14>20,12.445100816830449,2.2418293284585675,77,0.4842463809253477,43,0.5116883116883116
9,st7x2_rsi14>40_adx14>30,2.39548635552569,1.1575248711739854,50,0.2705080896962816,25,0.28779220779220777
10,st7x2_rsi14>50_adxnone,13.30489976953343,3.5764378132277077,95,0.547828555208629,48,0.5901298701298702
11,st7x2_rsi14>50_adx7>20,13.929660904756627,3.4007499149117395,94,0.5432869713312518,48,0.587012987012987
12,st7x2_rsi14>50_adx7>30,6.589447323775139,2.9314780836609473,83,0.4745955151859211,39,0.4857142857142857
13,st7x2_rsi14>50_adx14>20,11.130747698929886,1.9030275891675834,76,0.47090547828555207,42,0.48935064935064937
14,st7x2_rsi14>50_adx14>30,1.9495578540439928,1.0155255015587117,48,0.24751632131705933,24,0.27896103896103897
15,st7x2_rsi14>60_adxnone,7.355601871411116,3.0153236790144,81,0.44507521998296906,37,0.48987012987012984
16,st7x2_rsi14>60_adx7>20,7.865102760763502,2.9457993842164356,78,0.4396820891285836,37,0.4883116883116883
17,st7x2_rsi14>60_adx7>30,5.160947733816465,2.223837760100725,70,0.3922793074084587,33,0.4238961038961039
18,st7x2_rsi14>60_adx14>20,5.765492025447368,1.5692051871790058,66,0.386034629577065,35,0.42493506493506494
19,st7x2_rsi14>60_adx14>30,1.716809004220106,0.8625962119650612,42,0.20607436843599206,22,0.24935064935064935
20,st7x2_rsi28>40_adxnone,14.854819863494344,3.5119932449243647,96,0.5611694578484246,49,0.6025974025974026
21,st7x2_rsi28>40_adx7>20,15.668961186971146,3.4714200910316872,95,0.5571955719557196,49,0.601038961038961
22,st7x2_rsi28>40_adx7>30,7.663034584732442,2.510458817080977,85,0.4947487936417826,41,0.49766233766233764
23,st7x2_rsi28>40_adx14>20,12.445100816830449,2.2418293284585675,77,0.4842463809253477,43,0.5116883116883116
24,st7x2_rsi28>40_adx14>30,2.39548635552569,1.1575248711739854,50,0.2705080896962816,25,0.28779220779220777
25,st7x2_rsi28>50_adxnone,17.500859715556274,2.9237967624502064,89,0.5271075787680953,46,0.5693506493506494
26,st7x2_rsi28>50_adx7>20,17.72611955631055,2.732905131690858,88,0.5225659948907181,46,0.5641558441558442
27,st7x2_rsi28>50_adx7>30,8.08004858135301,2.454456703540252,78,0.4569968776610843,39,0.48363636363636364
28,st7x2_rsi28>50_adx14>20,12.50063938756162,1.8845128706543255,71,0.452171444791371,40,0.4768831168831169
29,st7x2_rsi28>50_adx14>30,2.0319906775059224,0.9553546720265262,44,0.23417541867726369,23,0.27116883116883117
30,st7x2_rsi28>60_adxnone,6.494555780169626,1.2075433655077092,62,0.3505535055350554,29,0.32831168831168833
31,st7x2_rsi28>60_adx7>20,6.571591752896736,1.2075433655077092,61,0.349134260573375,29,0.32831168831168833
32,st7x2_rsi28>60_adx7>30,5.751618416569159,1.0340109674802003,54,0.3224524552937837,26,0.3012987012987013
33,st7x2_rsi28>60_adx14>20,5.335486696816975,1.0108322178478955,55,0.3247232472324723,27,0.3116883116883117
34,st7x2_rsi28>60_adx14>30,1.7326201187170662,0.7713942923760635,38,0.1904626738575078,21,0.23064935064935066
35,st7x3_rsinone_adxnone,8.676610226610556,2.7034988372306796,59,0.5569117229633834,30,0.5828571428571429
36,st7x3_rsinone_adx7>20,7.4821909980697665,2.6290978228126574,59,0.5540732330400228,30,0.5807792207792207
37,st7x3_rsinone_adx7>30,5.351629187303099,2.4855077321113286,57,0.5126312801589554,27,0.535064935064935
38,st7x3_rsinone_adx14>20,5.902063353256956,1.7172167343920717,51,0.5041158103888731,27,0.5080519480519481
39,st7x3_rsinone_adx14>30,2.8028416685295983,1.4649198122273566,34,0.3181947204087425,16,0.32831168831168833
40,st7x3_rsi14>40_adxnone,8.676610226610556,2.7034988372306796,59,0.5569117229633834,30,0.5828571428571429
41,st7x3_rsi14>40_adx7>20,7.4821909980697665,2.6290978228126574,59,0.5540732330400228,30,0.5807792207792207
42,st7x3_rsi14>40_adx7>30,5.351629187303099,2.4855077321113286,57,0.5126312801589554,27,0.535064935064935
43,st7x3_rsi14>40_adx14>20,5.902063353256956,1.7172167343920717,51,0.5041158103888731,27,0.5080519480519481
44,st7x3_rsi14>40_adx14>30,2.8028416685295983,1.4649198122273566,34,0.3181947204087425,16,0.32831168831168833
45,st7x3_rsi14>50_adxnone,8.452414929800762,2.7034988372306796,59,0.5566278739710474,30,0.5828571428571429
46,st7x3_rsi14>50_adx7>20,7.28566894294141,2.6290978228126574,59,0.5537893840476866,30,0.5807792207792207
47,st7x3_rsi14>50_adx7>30,5.204469659583658,2.4855077321113286,57,0.5123474311666194,27,0.535064935064935
48,st7x3_rsi14>50_adx14>20,5.742150934977671,1.7172167343920717,51,0.5038319613965371,27,0.5080519480519481
49,st7x3_rsi14>50_adx14>30,2.714734449510697,1.4649198122273566,34,0.31791087141640645,16,0.32831168831168833
50,st7x3_rsi14>60_adxnone,8.575569159552847,2.6367538543262223,54,0.514902072097644,27,0.545974025974026
51,st7x3_rsi14>60_adx7>20,8.483015761241896,2.573784398489507,53,0.5129151291512916,27,0.5444155844155845
52,st7x3_rsi14>60_adx7>30,6.9880233437298,2.318446516167866,52,0.49418109565711044,25,0.5044155844155844
