config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,92.95398475529551,1.0523923595617202,52,0.5073977371627503,49,0.4748549323017408
1,st7x2_rsinone_adx7>20,113.49681510677115,1.0405681919918495,52,0.500870322019147,49,0.4734042553191489
2,st7x2_rsinone_adx7>30,87.85773463684832,0.7215426792694501,50,0.4765013054830287,44,0.39119922630560927
3,st7x2_rsinone_adx14>20,93.98127819825967,0.09532672698952838,46,0.4390774586597041,44,0.3960348162475822
4,st7x2_rsinone_adx14>30,23.81318118280492,-0.1734050318714031,37,0.3033072236727589,28,0.23500967117988394
5,st7x2_rsi14>40_adxnone,118.51651098569585,1.0523923595617202,51,0.5004351610095735,49,0.4748549323017408
6,st7x2_rsi14>40_adx7>20,118.88561476510608,1.0405681919918495,51,0.4991296779808529,49,0.4734042553191489
7,st7x2_rsi14>40_adx7>30,92.0398293929774,0.7215426792694501,49,0.47476066144473456,44,0.39119922630560927
8,st7x2_rsi14>40_adx14>20,93.98127819825967,0.09532672698952838,46,0.4390774586597041,44,0.3960348162475822
9,st7x2_rsi14>40_adx14>30,23.81318118280492,-0.1734050318714031,37,0.3033072236727589,28,0.23500967117988394
10,st7x2_rsi14>50_adxnone,76.09435294565168,1.307791894034128,50,0.48607484769364667,47,0.4574468085106383
11,st7x2_rsi14>50_adx7>20,71.26874908482723,1.2944963280355868,50,0.4830287206266319,47,0.4559961315280464
12,st7x2_rsi14>50_adx7>30,62.40179612987795,0.9087783547448416,48,0.45082680591818974,41,0.3679883945841393
13,st7x2_rsi14>50_adx14>20,76.59067869923295,0.23162909376897112,45,0.4260226283724978,42,0.3786266924564797
14,st7x2_rsi14>50_adx14>30,16.022370293472903,0.00611197970566657,36,0.278503046127067,26,0.22437137330754353
15,st7x2_rsi14>60_adxnone,82.63528094589564,1.3037372364743613,37,0.3637946040034813,38,0.36992263056092844
16,st7x2_rsi14>60_adx7>20,85.46152238050784,1.2611384747458847,36,0.36205395996518713,37,0.36121856866537716
17,st7x2_rsi14>60_adx7>30,90.0962754620272,1.6168999080953763,35,0.3503046127067015,33,0.32833655705996134
18,st7x2_rsi14>60_adx14>20,38.62988979132767,0.7359580557886412,36,0.3381201044386423,33,0.316247582205029
19,st7x2_rsi14>60_adx14>30,18.453440968393718,0.6896149838714662,29,0.2380330722367276,19,0.18423597678916828
20,st7x2_rsi28>40_adxnone,100.00533762810328,1.0523923595617202,51,0.49869451697127937,49,0.4748549323017408
21,st7x2_rsi28>40_adx7>20,100.31727320546958,1.0405681919918495,51,0.49738903394255873,49,0.4734042553191489
22,st7x2_rsi28>40_adx7>30,77.62946552902235,0.7215426792694501,49,0.4730200174064404,44,0.39119922630560927
23,st7x2_rsi28>40_adx14>20,82.19592567280542,0.09532672698952838,46,0.43777197563098347,44,0.3960348162475822
24,st7x2_rsi28>40_adx14>30,20.73434193085354,-0.1734050318714031,37,0.3020017406440383,28,0.23500967117988394
25,st7x2_rsi28>50_adxnone,63.90897115889031,1.6429016943276422,45,0.4316797214969539,43,0.4158607350096712
26,st7x2_rsi28>50_adx7>20,64.10943004423416,1.8039131457123596,45,0.43037423846823325,42,0.41102514506769827
27,st7x2_rsi28>50_adx7>30,61.27421993492745,1.437083912669077,41,0.3838120104438642,38,0.3505802707930368
28,st7x2_rsi28>50_adx14>20,61.82759347763021,0.4161548208920418,39,0.3733681462140992,38,0.3317214700193424
29,st7x2_rsi28>50_adx14>30,14.998297697900751,0.6896149838714662,31,0.24151436031331594,19,0.18423597678916828
30,st7x2_rsi28>60_adxnone,39.324494143740594,1.6862946166005885,27,0.26631853785900783,24,0.24177949709864605
31,st7x2_rsi28>60_adx7>20,39.324494143740594,1.6862946166005885,27,0.26631853785900783,24,0.24177949709864605
32,st7x2_rsi28>60_adx7>30,50.31177408874177,2.0750742354174196,26,0.2615317667536989,21,0.218568665377176
33,st7x2_rsi28>60_adx14>20,29.4720920038063,1.5367651853218023,27,0.26327241079199304,22,0.22388781431334623
34,st7x2_rsi28>60_adx14>30,19.445366323137968,0.9702317099344242,24,0.2145343777197563,15,0.16054158607350097
35,st7x3_rsinone_adxnone,52.37646405583938,1.623761268930573,31,0.5461270670147955,29,0.48549323017408125
36,st7x3_rsinone_adx7>20,63.84684250532473,1.6029973966405433,31,0.540905134899913,29,0.47292069632495165
37,st7x3_rsinone_adx7>30,68.62701675315455,1.0511080260037606,30,0.5234986945169713,28,0.44245647969052226
38,st7x3_rsinone_adx14>20,50.06171720974801,0.7373489890699514,29,0.5095735422106179,29,0.4448742746615087
39,st7x3_rsinone_adx14>30,11.468101002471256,-0.05107488901130541,26,0.3877284595300261,20,0.2746615087040619
40,st7x3_rsi14>40_adxnone,73.29337811219483,1.623761268930573,30,0.5387293298520452,29,0.48549323017408125
41,st7x3_rsi14>40_adx7>20,73.29337811219483,1.6029973966405433,30,0.5387293298520452,29,0.47292069632495165
42,st7x3_rsi14>40_adx7>30,78.76990216665467,1.0511080260037606,29,0.5213228894691035,28,0.44245647969052226
43,st7x3_rsi14>40_adx14>20,50.06171720974801,0.7373489890699514,29,0.5095735422106179,29,0.4448742746615087
44,st7x3_rsi14>40_adx14>30,11.468101002471256,-0.05107488901130541,26,0.3877284595300261,20,0.2746615087040619
45,st7x3_rsi14>50_adxnone,73.29337811219483,1.623761268930573,30,0.5387293298520452,29,0.48549323017408125
46,st7x3_rsi14>50_adx7>20,73.29337811219483,1.541174683096632,30,0.5387293298520452,29,0.47147001934235977
47,st7x3_rsi14>50_adx7>30,71.58415567081053,1.0511080260037606,29,0.5143603133159269,28,0.44245647969052226
48,st7x3_rsi14>50_adx14>20,50.06171720974801,0.7067460904240992,29,0.5095735422106179,29,0.43762088974854935
49,st7x3_rsi14>50_adx14>30,11.468101002471256,-0.07586250332653321,26,0.3877284595300261,20,0.27321083172147004
50,st7x3_rsi14>60_adxnone,74.15004868520425,1.215106647091432,26,0.45517841601392517,27,0.46131528046421666
51,st7x3_rsi14>60_adx7>20,74.15004868520425,0.9980000788370376,26,0.45517841601392517,27,0.4463249516441006
