config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,-0.46783376458282633,0.35774118380870923,93,0.5597502128867442,53,0.5511688311688312
1,st7x2_rsinone_adx7>20,-0.49680491526829007,0.3344721327495057,92,0.5506670451319898,52,0.5309090909090909
2,st7x2_rsinone_adx7>30,-0.1719235386971084,0.3229790519775362,69,0.44791370990632984,43,0.42753246753246754
3,st7x2_rsinone_adx14>20,-0.2570183654495175,0.9623739299647789,66,0.4198126596650582,37,0.4228571428571429
4,st7x2_rsinone_adx14>30,-0.06957395076228479,0.10209822542783908,33,0.2091967073516889,19,0.24467532467532468
5,st7x2_rsi14>40_adxnone,-0.46783376458282633,0.35774118380870923,93,0.5597502128867442,53,0.5511688311688312
6,st7x2_rsi14>40_adx7>20,-0.49680491526829007,0.3344721327495057,92,0.5506670451319898,52,0.5309090909090909
7,st7x2_rsi14>40_adx7>30,-0.1719235386971084,0.3229790519775362,69,0.44791370990632984,43,0.42753246753246754
8,st7x2_rsi14>40_adx14>20,-0.2570183654495175,0.9623739299647789,66,0.4198126596650582,37,0.4228571428571429
9,st7x2_rsi14>40_adx14>30,-0.06957395076228479,0.10209822542783908,33,0.2091967073516889,19,0.24467532467532468
10,st7x2_rsi14>50_adxnone,-0.4200754765311764,0.34003750671590494,90,0.5475447062162929,53,0.5475324675324675
11,st7x2_rsi14>50_adx7>20,-0.44398334895261315,0.31707186235241336,88,0.5347715015611695,52,0.5272727272727272
12,st7x2_rsi14>50_adx7>30,-0.09760932720510695,0.33519258929161166,66,0.4357082032358785,43,0.4254545454545455
13,st7x2_rsi14>50_adx14>20,-0.19034083395951196,0.9367864065061657,63,0.40760715299460687,37,0.4192207792207792
14,st7x2_rsi14>50_adx14>30,-0.1577854468589711,0.12720644762306788,32,0.19216576781152428,18,0.23584415584415586
15,st7x2_rsi14>60_adxnone,-0.4154902391367047,0.29709493737492854,70,0.4249219415271076,45,0.4212987012987013
16,st7x2_rsi14>60_adx7>20,-0.32806611859718315,0.536209712541285,68,0.41810956571104174,42,0.4057142857142857
17,st7x2_rsi14>60_adx7>30,-0.22700362201364876,0.4019742397897017,58,0.3709906329832529,36,0.3361038961038961
18,st7x2_rsi14>60_adx14>20,-0.21978038073544215,0.6866809744848641,52,0.33550950894124326,31,0.3122077922077922
