config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,4.6573667741519165,2.213511397483896,99,0.5222821458983821,47,0.6067532467532467
1,st7x2_rsinone_adx7>20,4.7565206307723775,1.9942776327914307,98,0.514902072097644,46,0.5937662337662337
2,st7x2_rsinone_adx7>30,3.1274575627358967,1.3925193961246944,81,0.44507521998296906,37,0.4711688311688312
3,st7x2_rsinone_adx14>20,1.5691364414265911,1.2649359059519858,82,0.4056202100482543,36,0.44883116883116886
4,st7x2_rsinone_adx14>30,1.1234322872411213,0.6315495686754837,45,0.23843315356230485,17,0.21974025974025974
5,st7x2_rsi14>40_adxnone,4.6573667741519165,2.213511397483896,99,0.5222821458983821,47,0.6067532467532467
6,st7x2_rsi14>40_adx7>20,4.7565206307723775,1.9942776327914307,98,0.514902072097644,46,0.5937662337662337
7,st7x2_rsi14>40_adx7>30,3.1274575627358967,1.3925193961246944,81,0.44507521998296906,37,0.4711688311688312
8,st7x2_rsi14>40_adx14>20,1.5691364414265911,1.2649359059519858,82,0.4056202100482543,36,0.44883116883116886
9,st7x2_rsi14>40_adx14>30,1.1234322872411213,0.6315495686754837,45,0.23843315356230485,17,0.21974025974025974
10,st7x2_rsi14>50_adxnone,3.8075690277016747,1.7626514325641445,99,0.5151859210899802,47,0.5963636363636363
11,st7x2_rsi14>50_adx7>20,3.891828901437208,1.5741764594962828,98,0.5078058472892422,46,0.5833766233766233
12,st7x2_rsi14>50_adx7>30,2.198517219817673,1.2207188668559659,79,0.4291796764121487,35,0.4566233766233766
13,st7x2_rsi14>50_adx14>20,1.1832243297666731,0.9471623564626279,82,0.3985239852398524,36,0.43844155844155847
14,st7x2_rsi14>50_adx14>30,1.107910986646508,0.24974410921292667,44,0.23190462673857506,17,0.20363636363636364
15,st7x2_rsi14>60_adxnone,2.5396391854179967,1.3532499074918372,80,0.41186488787964803,37,0.5007792207792208
16,st7x2_rsi14>60_adx7>20,2.5188184584727664,1.2735886272278112,80,0.40902639795628726,37,0.4987012987012987
17,st7x2_rsi14>60_adx7>30,2.953629868283624,0.8526377822540387,65,0.3559466363894408,34,0.4316883116883117
18,st7x2_rsi14>60_adx14>20,0.9784635651921825,0.8819296553099414,63,0.3119500425773489,30,0.38961038961038963
19,st7x2_rsi14>60_adx14>30,1.237218435594721,0.20457918272827436,34,0.1907465228498439,15,0.1703896103896104
20,st7x2_rsi28>40_adxnone,4.6573667741519165,2.213511397483896,99,0.5222821458983821,47,0.6067532467532467
21,st7x2_rsi28>40_adx7>20,4.7565206307723775,1.9942776327914307,98,0.514902072097644,46,0.5937662337662337
22,st7x2_rsi28>40_adx7>30,3.1274575627358967,1.3925193961246944,81,0.44507521998296906,37,0.4711688311688312
23,st7x2_rsi28>40_adx14>20,1.5691364414265911,1.2649359059519858,82,0.4056202100482543,36,0.44883116883116886
24,st7x2_rsi28>40_adx14>30,1.1234322872411213,0.6315495686754837,45,0.23843315356230485,17,0.21974025974025974
25,st7x2_rsi28>50_adxnone,3.073893103248192,1.6362495499782574,93,0.48651717286403634,44,0.571948051948052
26,st7x2_rsi28>50_adx7>20,3.145294203578496,1.6135233772000945,92,0.4791370990632983,43,0.561038961038961
27,st7x2_rsi28>50_adx7>30,2.670562861845522,1.1495921481972982,74,0.408174850979279,35,0.44415584415584414
28,st7x2_rsi28>50_adx14>20,1.066417551826413,1.1495276744376963,75,0.36758444507522,32,0.41454545454545455
