config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,-0.025591604386934308,2.0799318987878284,88,0.5994890718137951,49,0.5828571428571429
1,st7x2_rsinone_adx7>20,-0.0013924337256173702,1.719647212001441,88,0.5977859778597786,49,0.5714285714285714
2,st7x2_rsinone_adx7>30,-0.2473983228266614,1.480437132822638,76,0.47629860913993755,41,0.4722077922077922
3,st7x2_rsinone_adx14>20,-0.00851899347526075,1.01380209895847,68,0.42066420664206644,42,0.44935064935064933
4,st7x2_rsinone_adx14>30,0.4154397050537262,0.1411633786337998,31,0.23928470053931308,21,0.19168831168831169
5,st7x2_rsi14>40_adxnone,-0.025591604386934308,2.0799318987878284,88,0.5994890718137951,49,0.5828571428571429
6,st7x2_rsi14>40_adx7>20,-0.0013924337256173702,1.719647212001441,88,0.5977859778597786,49,0.5714285714285714
7,st7x2_rsi14>40_adx7>30,-0.2473983228266614,1.480437132822638,76,0.47629860913993755,41,0.4722077922077922
8,st7x2_rsi14>40_adx14>20,-0.00851899347526075,1.01380209895847,68,0.42066420664206644,42,0.44935064935064933
9,st7x2_rsi14>40_adx14>30,0.4154397050537262,0.1411633786337998,31,0.23928470053931308,21,0.19168831168831169
10,st7x2_rsi14>50_adxnone,0.0059729277876299225,2.1957148246174185,86,0.591825149020721,48,0.5688311688311688
11,st7x2_rsi14>50_adx7>20,-0.004963130078737055,1.7087337462266041,86,0.5864320181663355,48,0.5548051948051949
12,st7x2_rsi14>50_adx7>30,-0.2615601271666247,1.0502205358747134,74,0.46352540448481405,39,0.44831168831168833
13,st7x2_rsi14>50_adx14>20,0.15781530527055998,0.5912522250261392,64,0.40789100198694295,41,0.4290909090909091
14,st7x2_rsi14>50_adx14>30,0.47603754656394615,0.15788396857328202,30,0.23701390860062446,20,0.18701298701298702
15,st7x2_rsi14>60_adxnone,1.3264796400599095,0.8158053400321477,61,0.4470621629293216,40,0.43116883116883115
16,st7x2_rsi14>60_adx7>20,1.1608146744912289,0.8878199241523776,61,0.4419528810672722,39,0.4238961038961039
17,st7x2_rsi14>60_adx7>30,0.6482893148377862,0.5353837319532997,56,0.3735452739142776,35,0.37766233766233764
18,st7x2_rsi14>60_adx14>20,0.9473110921137873,0.6639050442212171,47,0.3156400794777178,32,0.32727272727272727
19,st7x2_rsi14>60_adx14>30,0.10865637107068027,0.16776046731932515,27,0.1881918819188192,19,0.18025974025974026
20,st7x2_rsi28>40_adxnone,-0.025591604386934308,2.0799318987878284,88,0.5994890718137951,49,0.5828571428571429
21,st7x2_rsi28>40_adx7>20,-0.0013924337256173702,1.719647212001441,88,0.5977859778597786,49,0.5714285714285714
22,st7x2_rsi28>40_adx7>30,-0.2473983228266614,1.480437132822638,76,0.47629860913993755,41,0.4722077922077922
23,st7x2_rsi28>40_adx14>20,-0.00851899347526075,1.01380209895847,68,0.42066420664206644,42,0.44935064935064933
24,st7x2_rsi28>40_adx14>30,0.4154397050537262,0.1411633786337998,31,0.23928470053931308,21,0.19168831168831169
25,st7x2_rsi28>50_adxnone,0.446937252642875,2.7139016809392555,78,0.5387453874538746,45,0.5397402597402597
26,st7x2_rsi28>50_adx7>20,0.2653956219105127,2.502559741627247,78,0.5353391995458416,44,0.5272727272727272
27,st7x2_rsi28>50_adx7>30,0.15507120035945632,0.883818807906668,67,0.4331535623048538,39,0.43896103896103894
28,st7x2_rsi28>50_adx14>20,0.46370970240496834,0.9262631809918047,58,0.37184217996026114,37,0.3974025974025974
29,st7x2_rsi28>50_adx14>30,0.1751669046468478,0.15788396857328202,27,0.19755889866590973,20,0.18701298701298702
30,st7x2_rsi28>60_adxnone,0.5282624218764485,0.9017379328416022,42,0.297757592960545,28,0.30753246753246755
31,st7x2_rsi28>60_adx7>20,0.35237525101541145,0.806633215194289,42,0.28924212319046266,28,0.30597402597402595
32,st7x2_rsi28>60_adx7>30,0.282215753309466,0.7103394879820626,40,0.2716434856656259,26,0.2872727272727273
33,st7x2_rsi28>60_adx14>20,0.30941222767975085,0.6043784554315195,38,0.25972182798751065,28,0.27896103896103897
34,st7x2_rsi28>60_adx14>30,0.09554206635338769,0.20682899859563952,27,0.18734033494181096,18,0.17662337662337663
35,st7x3_rsinone_adxnone,1.0728460788938206,1.678477401906834,49,0.5753619074652285,28,0.5605194805194805
36,st7x3_rsinone_adx7>20,1.0482336588743357,1.5591651799639412,49,0.5682656826568265,28,0.5548051948051949
37,st7x3_rsinone_adx7>30,0.758940781741221,0.9734504337087198,45,0.5154697700823162,27,0.5116883116883116
38,st7x3_rsinone_adx14>20,1.2603306602075204,0.7603075244126352,38,0.44422367300596083,23,0.4581818181818182
39,st7x3_rsinone_adx14>30,0.3062680274035825,0.5041904036745428,24,0.2770366165200114,13,0.28623376623376623
40,st7x3_rsi14>40_adxnone,1.0728460788938206,1.678477401906834,49,0.5753619074652285,28,0.5605194805194805
41,st7x3_rsi14>40_adx7>20,1.0482336588743357,1.5591651799639412,49,0.5682656826568265,28,0.5548051948051949
42,st7x3_rsi14>40_adx7>30,0.758940781741221,0.9734504337087198,45,0.5154697700823162,27,0.5116883116883116
43,st7x3_rsi14>40_adx14>20,1.2603306602075204,0.7603075244126352,38,0.44422367300596083,23,0.4581818181818182
44,st7x3_rsi14>40_adx14>30,0.3062680274035825,0.5041904036745428,24,0.2770366165200114,13,0.28623376623376623
45,st7x3_rsi14>50_adxnone,1.0728460788938206,1.678477401906834,49,0.5753619074652285,28,0.5605194805194805
46,st7x3_rsi14>50_adx7>20,0.9311411894873531,1.5591651799639412,49,0.5676979846721544,28,0.5548051948051949
47,st7x3_rsi14>50_adx7>30,0.8167714039686975,0.9734504337087198,44,0.5120635821742833,27,0.5116883116883116
48,st7x3_rsi14>50_adx14>20,1.2603306602075204,0.7603075244126352,38,0.44422367300596083,23,0.4581818181818182
49,st7x3_rsi14>50_adx14>30,0.3062680274035825,0.5041904036745428,24,0.2770366165200114,13,0.28623376623376623
50,st7x3_rsi14>60_adxnone,0.9906610669677416,1.3655971277909646,45,0.5361907465228498,26,0.5215584415584416
51,st7x3_rsi14>60_adx7>20,0.8479111871455514,1.351357207248424,45,0.5313653136531366,26,0.518961038961039
52,st7x3_rsi14>60_adx7>30,1.0189811868529084,0.9684069742135455,40,0.48651717286403634,24,0.48103896103896104
53,st7x3_rsi14>60_adx14>20,1.5845670827780602,0.9452654950435746,34,0.42293499858075506,20,0.41714285714285715
54,st7x3_rsi14>60_adx14>30,0.21993640544481963,0.5041904036745428,23,0.253760999148453,13,0.28623376623376623
55,st7x3_rsi28>40_adxnone,1.0728460788938206,1.678477401906834,49,0.5753619074652285,28,0.5605194805194805
56,st7x3_rsi28>40_adx7>20,1.0482336588743357,1.5591651799639412,49,0.5682656826568265,28,0.5548051948051949
57,st7x3_rsi28>40_adx7>30,0.758940781741221,0.9734504337087198,45,0.5154697700823162,27,0.5116883116883116
58,st7x3_rsi28>40_adx14>20,1.2603306602075204,0.7603075244126352,38,0.44422367300596083,23,0.4581818181818182
59,st7x3_rsi28>40_adx14>30,0.3062680274035825,0.5041904036745428,24,0.2770366165200114,13,0.28623376623376623
60,st7x3_rsi28>50_adxnone,0.8819037631273434,2.0473630947199846,49,0.5597502128867442,28,0.5542857142857143
61,st7x3_rsi28>50_adx7>20,0.7355546294407256,1.7510250430567194,49,0.5543570820323588,28,0.5407792207792208
62,st7x3_rsi28>50_adx7>30,0.6976679684664688,1.0544171341769948,44,0.5009934714731763,27,0.5106493506493507
63,st7x3_rsi28>50_adx14>20,1.3534588107276875,0.8077773047843355,37,0.4371274481975589,23,0.4374025974025974
64,st7x3_rsi28>50_adx14>30,0.29312285290713724,0.5041904036745428,23,0.2631280158955436,13,0.28623376623376623
65,st7x3_rsi28>60_adxnone,0.7312749361027844,1.2413394419132886,31,0.3763837638376384,17,0.3787012987012987
66,st7x3_rsi28>60_adx7>20,0.6624378432537281,1.1292514664389603,31,0.37439682089128584,17,0.37714285714285717
67,st7x3_rsi28>60_adx7>30,0.8392065273074192,1.045760908568072,29,0.36559750212886744,17,0.36883116883116884
68,st7x3_rsi28>60_adx14>20,0.742372595442403,0.8943726655588995,29,0.3499858075503832,17,0.3522077922077922
69,st7x3_rsi28>60_adx14>30,0.20550576834734868,0.5461499801498331,23,0.2529094521714448,12,0.26961038961038963
70,st7x4_rsinone_adxnone,1.7300806136780262,1.3166114609474482,29,0.5728072665342038,19,0.5111688311688312
71,st7x4_rsinone_adx7>20,1.685841684963001,1.3279831045874797,29,0.5722395685495316,19,0.5096103896103896
72,st7x4_rsinone_adx7>30,1.8073516108123244,0.9934904454796449,28,0.5495316491626455,18,0.48
73,st7x4_rsinone_adx14>20,2.443153498559889,0.7592275941847146,25,0.5214305989213738,18,0.44207792207792207
74,st7x4_rsinone_adx14>30,0.49779381476152484,0.26063417293259206,18,0.3499858075503832,13,0.31584415584415587
75,st7x4_rsi14>40_adxnone,1.7300806136780262,1.3166114609474482,29,0.5728072665342038,19,0.5111688311688312
76,st7x4_rsi14>40_adx7>20,1.685841684963001,1.3279831045874797,29,0.5722395685495316,19,0.5096103896103896
77,st7x4_rsi14>40_adx7>30,1.755121953440454,0.9934904454796449,28,0.5486801021856372,18,0.48
78,st7x4_rsi14>40_adx14>20,2.443153498559889,0.7592275941847146,25,0.5214305989213738,18,0.44207792207792207
79,st7x4_rsi14>40_adx14>30,0.49779381476152484,0.26063417293259206,18,0.3499858075503832,13,0.31584415584415587
80,st7x4_rsi14>50_adxnone,1.7300806136780262,1.3166114609474482,29,0.5728072665342038,19,0.5111688311688312
81,st7x4_rsi14>50_adx7>20,1.685841684963001,1.3279831045874797,29,0.5722395685495316,19,0.5096103896103896
82,st7x4_rsi14>50_adx7>30,1.884082321909471,0.9934904454796449,27,0.5461254612546126,18,0.48
83,st7x4_rsi14>50_adx14>20,2.5502974045107667,0.7592275941847146,24,0.5194436559750213,18,0.44207792207792207
84,st7x4_rsi14>50_adx14>30,0.49779381476152484,0.26063417293259206,18,0.3499858075503832,13,0.31584415584415587
85,st7x4_rsi14>60_adxnone,2.010877117562292,1.195963017692618,28,0.5657110417258019,19,0.5106493506493507
86,st7x4_rsi14>60_adx7>20,1.9620880900492672,1.2067424294778255,28,0.5651433437411297,19,0.509090909090909
87,st7x4_rsi14>60_adx7>30,1.884082321909471,0.8716558201327285,27,0.5461254612546126,18,0.478961038961039
88,st7x4_rsi14>60_adx14>20,2.5502974045107667,0.6659955222390819,24,0.5194436559750213,18,0.44103896103896106
89,st7x4_rsi14>60_adx14>30,0.49779381476152484,0.26063417293259206,18,0.3499858075503832,13,0.31584415584415587
90,st7x4_rsi28>40_adxnone,1.7300806136780262,1.3166114609474482,29,0.5728072665342038,19,0.5111688311688312
91,st7x4_rsi28>40_adx7>20,1.685841684963001,1.3279831045874797,29,0.5722395685495316,19,0.5096103896103896
92,st7x4_rsi28>40_adx7>30,1.8073516108123244,0.9934904454796449,28,0.5495316491626455,18,0.48
93,st7x4_rsi28>40_adx14>20,2.443153498559889,0.7592275941847146,25,0.5214305989213738,18,0.44207792207792207
94,st7x4_rsi28>40_adx14>30,0.49779381476152484,0.26063417293259206,18,0.3499858075503832,13,0.31584415584415587
95,st7x4_rsi28>50_adxnone,1.7300806136780262,1.195963017692618,29,0.5728072665342038,19,0.5106493506493507
96,st7x4_rsi28>50_adx7>20,1.685841684963001,1.2067424294778255,29,0.5722395685495316,19,0.509090909090909
97,st7x4_rsi28>50_adx7>30,1.884082321909471,0.889670049636426,27,0.5461254612546126,18,0.4794805194805195
98,st7x4_rsi28>50_adx14>20,2.5502974045107667,0.6676075387082885,24,0.5194436559750213,18,0.44155844155844154
99,st7x4_rsi28>50_adx14>30,0.49779381476152484,0.26063417293259206,18,0.3499858075503832,13,0.31584415584415587
100,st7x4_rsi28>60_adxnone,1.1284842084112587,0.9326909822360965,22,0.44507521998296906,16,0.4083116883116883
101,st7x4_rsi28>60_adx7>20,1.0544745276410663,0.8360383220609788,22,0.4433721260289526,16,0.40675324675324676
102,st7x4_rsi28>60_adx7>30,1.010699175804516,0.7559493449730361,22,0.4419528810672722,16,0.39896103896103896
103,st7x4_rsi28>60_adx14>20,0.994138204180034,0.6943981909841495,22,0.4305989213738291,16,0.3922077922077922
104,st7x4_rsi28>60_adx14>30,0.4844356876663096,0.34649148218699644,18,0.34941810956571107,12,0.29818181818181816
105,st10x2_rsinone_adxnone,0.2494347524180336,1.7954553298915044,86,0.603179108714164,51,0.5994805194805195
106,st10x2_rsinone_adx7>20,0.25762392502938836,1.4749558013025874,86,0.6017598637524837,51,0.5927272727272728
107,st10x2_rsinone_adx7>30,-0.04605101940040912,1.0776930445909398,76,0.48793641782571673,43,0.4768831168831169
108,st10x2_rsinone_adx14>20,0.2622215915631523,0.5737700896582372,68,0.43741129718989497,45,0.46025974025974026
109,st10x2_rsinone_adx14>30,0.4823199131726361,-0.08380595477322084,32,0.2441101334090264,24,0.21142857142857144
110,st10x2_rsi14>40_adxnone,0.2494347524180336,1.7954553298915044,86,0.603179108714164,51,0.5994805194805195
111,st10x2_rsi14>40_adx7>20,0.25762392502938836,1.4749558013025874,86,0.6017598637524837,51,0.5927272727272728
112,st10x2_rsi14>40_adx7>30,-0.04605101940040912,1.0776930445909398,76,0.48793641782571673,43,0.4768831168831169
113,st10x2_rsi14>40_adx14>20,0.2622215915631523,0.5737700896582372,68,0.43741129718989497,45,0.46025974025974026
114,st10x2_rsi14>40_adx14>30,0.4823199131726361,-0.08380595477322084,32,0.2441101334090264,24,0.21142857142857144
115,st10x2_rsi14>50_adxnone,0.25512984628731306,1.8451378762127373,84,0.5912574510360489,50,0.5864935064935065
116,st10x2_rsi14>50_adx7>20,0.24148517231085442,1.417937390135457,84,0.5858643201816633,50,0.5771428571428572
117,st10x2_rsi14>50_adx7>30,-0.14398684173538623,0.7366320201003338,74,0.46608004541583875,41,0.44987012987012986
118,st10x2_rsi14>50_adx14>20,0.27225468892667637,0.23533504312702602,64,0.4149872267953449,44,0.43896103896103894
119,st10x2_rsi14>50_adx14>30,0.5798403570723354,-0.005305930120002023,31,0.2415554924780017,22,0.19688311688311688
120,st10x2_rsi14>60_adxnone,1.4525108088448189,0.7687300614977499,61,0.44507521998296906,41,0.43844155844155847
121,st10x2_rsi14>60_adx7>20,1.2778713614548578,0.8388776466995032,61,0.43996593812091966,40,0.43116883116883115
122,st10x2_rsi14>60_adx7>30,0.7434928452055041,0.504630182606614,56,0.3709906329832529,35,0.37974025974025977
123,st10x2_rsi14>60_adx14>20,1.0433348200003172,0.5846232012546266,47,0.31336928753902926,33,0.33506493506493507
124,st10x2_rsi14>60_adx14>30,0.20465867647911296,0.12191020038027345,27,0.18705648594947488,20,0.1864935064935065
125,st10x2_rsi28>40_adxnone,0.2494347524180336,1.7954553298915044,86,0.603179108714164,51,0.5994805194805195
126,st10x2_rsi28>40_adx7>20,0.25762392502938836,1.4749558013025874,86,0.6017598637524837,51,0.5927272727272728
127,st10x2_rsi28>40_adx7>30,-0.04605101940040912,1.0776930445909398,76,0.48793641782571673,43,0.4768831168831169
128,st10x2_rsi28>40_adx14>20,0.2622215915631523,0.5737700896582372,68,0.43741129718989497,45,0.46025974025974026
129,st10x2_rsi28>40_adx14>30,0.4823199131726361,-0.08380595477322084,32,0.2441101334090264,24,0.21142857142857144
130,st10x2_rsi28>50_adxnone,0.6829287778334947,2.6805178576248165,77,0.5393130854385467,46,0.5553246753246753
131,st10x2_rsi28>50_adx7>20,0.4717782015550205,2.480226513095161,77,0.5359068975305138,45,0.5475324675324675
132,st10x2_rsi28>50_adx7>30,0.24449030567553298,0.7165538440758867,68,0.43883054215157535,40,0.44311688311688313
133,st10x2_rsi28>50_adx14>20,0.7101382678218651,0.8123799935969764,58,0.37837070678399093,39,0.4103896103896104
134,st10x2_rsi28>50_adx14>30,0.25935831219955463,-0.005305930120002023,28,0.2029520295202952,22,0.19688311688311688
135,st10x2_rsi28>60_adxnone,0.6489083092991783,0.8413597787212534,42,0.29718989497587284,29,0.3142857142857143
136,st10x2_rsi28>60_adx7>20,0.459136046773881,0.7492745345778975,42,0.2886744252057905,29,0.31272727272727274
137,st10x2_rsi28>60_adx7>30,0.40392490331701403,0.7040630860326671,40,0.2702242407039455,26,0.2883116883116883
138,st10x2_rsi28>60_adx14>20,0.40626603802598793,0.5534411480472883,38,0.2588702810105024,29,0.2857142857142857
139,st10x2_rsi28>60_adx14>30,0.1904087597547668,0.15944476759626358,27,0.18620493897246665,19,0.18285714285714286
140,st10x3_rsinone_adxnone,0.4048474445476873,1.9960164965330782,54,0.5708203235878513,27,0.5703896103896103
141,st10x3_rsinone_adx7>20,0.24816902468678026,2.0468583595548364,54,0.5634402497871133,27,0.5563636363636364
142,st10x3_rsinone_adx7>30,0.3280873693531847,0.9840389951356745,49,0.5049673573658814,26,0.5096103896103896
143,st10x3_rsinone_adx14>20,0.643596598975607,0.6175960728536556,42,0.45131989781436277,23,0.43948051948051947
144,st10x3_rsinone_adx14>30,0.24843861566561887,0.5048628812169822,25,0.27363042861197845,13,0.28623376623376623
