config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,1.5823333651983806,-0.18231003491494202,77,0.6011921657678115,49,0.5828571428571429
1,st7x2_rsinone_adx7>20,1.5556851048034068,-0.06973096882780205,76,0.59551518592109,48,0.5735064935064935
2,st7x2_rsinone_adx7>30,0.8761500224297303,-0.12894055634889445,69,0.5234175418677264,40,0.4701298701298701
3,st7x2_rsinone_adx14>20,1.2047384390824254,-0.015280155167507248,60,0.48140789100198694,31,0.4212987012987013
4,st7x2_rsinone_adx14>30,0.5451107611484314,0.061396321758767636,34,0.2821458983820607,14,0.21402597402597404
5,st7x2_rsi14>40_adxnone,1.5228249000321346,-0.18231003491494202,77,0.6006244677831394,49,0.5828571428571429
6,st7x2_rsi14>40_adx7>20,1.4967907342760864,-0.06973096882780205,76,0.5949474879364178,48,0.5735064935064935
7,st7x2_rsi14>40_adx7>30,0.8329151675651123,-0.12894055634889445,69,0.5228498438830542,40,0.4701298701298701
8,st7x2_rsi14>40_adx14>20,1.1539314432193164,-0.015280155167507248,60,0.4808401930173148,31,0.4212987012987013
9,st7x2_rsi14>40_adx14>30,0.533399354214559,0.061396321758767636,34,0.28186204938972464,14,0.21402597402597404
10,st7x2_rsi14>50_adxnone,1.325444297081269,-0.20227103563315563,76,0.5838773772353109,49,0.5750649350649351
11,st7x2_rsi14>50_adx7>20,1.3014469906150512,-0.08095596880369227,75,0.5782003973885893,47,0.5620779220779221
12,st7x2_rsi14>50_adx7>30,0.677378521392646,-0.14277601901678627,65,0.4794209480556344,38,0.45714285714285713
13,st7x2_rsi14>50_adx14>20,1.1189107343992766,0.1325434199124429,59,0.463241555492478,30,0.4109090909090909
14,st7x2_rsi14>50_adx14>30,0.4150599423932395,0.04312773233351952,31,0.24382628441669033,14,0.21038961038961038
15,st7x2_rsi14>60_adxnone,0.6734089390238502,-0.05133366727987665,63,0.46494464944649444,35,0.43636363636363634
16,st7x2_rsi14>60_adx7>20,0.6618721402638976,-0.05366874435134317,62,0.4569968776610843,35,0.43324675324675327
17,st7x2_rsi14>60_adx7>30,0.4591577680576875,-0.11624930300934899,54,0.39540164632415553,31,0.38025974025974024
18,st7x2_rsi14>60_adx14>20,0.46812329597646185,-0.0053785414069936754,47,0.34686346863468637,26,0.3392207792207792
19,st7x2_rsi14>60_adx14>30,0.06436321286452884,0.036403711534551464,24,0.15838773772353107,11,0.16415584415584417
20,st7x2_rsi28>40_adxnone,1.5823333651983806,-0.18231003491494202,77,0.6011921657678115,49,0.5828571428571429
21,st7x2_rsi28>40_adx7>20,1.5556851048034068,-0.06973096882780205,76,0.59551518592109,48,0.5735064935064935
22,st7x2_rsi28>40_adx7>30,0.8761500224297303,-0.12894055634889445,69,0.5234175418677264,40,0.4701298701298701
23,st7x2_rsi28>40_adx14>20,1.2047384390824254,-0.015280155167507248,60,0.48140789100198694,31,0.4212987012987013
24,st7x2_rsi28>40_adx14>30,0.5451107611484314,0.061396321758767636,34,0.2821458983820607,14,0.21402597402597404
25,st7x2_rsi28>50_adxnone,1.0888662445875341,-0.25625393236216676,74,0.5566278739710474,47,0.5490909090909091
26,st7x2_rsi28>50_adx7>20,1.03271428066041,-0.12219049426630046,73,0.5500993471473177,45,0.5345454545454545
27,st7x2_rsi28>50_adx7>30,0.5061448139958367,-0.15220479147827837,64,0.4623900085154698,37,0.4425974025974026
28,st7x2_rsi28>50_adx14>20,0.7438132339211456,0.05629418077694148,55,0.4164064717570253,29,0.3875324675324675
29,st7x2_rsi28>50_adx14>30,0.17393612501891398,0.01737069354558929,28,0.209480556344025,12,0.1812987012987013
30,st7x2_rsi28>60_adxnone,0.026030187572448682,0.016702560432567015,43,0.3091115526539881,20,0.28363636363636363
31,st7x2_rsi28>60_adx7>20,-0.003469971996495347,0.016702560432567015,43,0.30740845869997163,20,0.28363636363636363
32,st7x2_rsi28>60_adx7>30,0.06136073056605196,-0.027950422842614397,38,0.268237297757593,19,0.2581818181818182
33,st7x2_rsi28>60_adx14>20,0.0659775843048831,0.02553653948184742,37,0.26852114674992905,18,0.24623376623376622
34,st7x2_rsi28>60_adx14>30,0.06356621668706408,0.005618824689592294,20,0.13426057337496453,11,0.1625974025974026
35,st7x3_rsinone_adxnone,0.6427376203526749,-0.060061097473233516,51,0.5932443939824014,31,0.5298701298701298
36,st7x3_rsinone_adx7>20,0.6427376203526749,-0.028137420152119397,51,0.5932443939824014,31,0.5257142857142857
37,st7x3_rsinone_adx7>30,0.5766685258623814,-0.045213602838657385,46,0.5271075787680953,27,0.4649350649350649
38,st7x3_rsinone_adx14>20,0.5018894083923158,0.10183990134474974,45,0.5214305989213738,25,0.43324675324675327
39,st7x3_rsinone_adx14>30,0.18725622033121403,0.09797400090587915,25,0.2886744252057905,11,0.19584415584415585
40,st7x3_rsi14>40_adxnone,0.6427376203526749,-0.060061097473233516,51,0.5932443939824014,31,0.5298701298701298
41,st7x3_rsi14>40_adx7>20,0.6427376203526749,-0.028137420152119397,51,0.5932443939824014,31,0.5257142857142857
42,st7x3_rsi14>40_adx7>30,0.5801390933604313,-0.045213602838657385,45,0.5268237297757593,27,0.4649350649350649
43,st7x3_rsi14>40_adx14>20,0.5018894083923158,0.06667858671524685,45,0.5214305989213738,24,0.43272727272727274
44,st7x3_rsi14>40_adx14>30,0.18725622033121403,0.09797400090587915,25,0.2886744252057905,11,0.19584415584415585
45,st7x3_rsi14>50_adxnone,0.6427376203526749,-0.060061097473233516,51,0.5932443939824014,31,0.5298701298701298
46,st7x3_rsi14>50_adx7>20,0.6427376203526749,-0.04861120927079776,51,0.5932443939824014,31,0.5236363636363637
47,st7x3_rsi14>50_adx7>30,0.5801390933604313,-0.045213602838657385,45,0.5268237297757593,27,0.4649350649350649
48,st7x3_rsi14>50_adx14>20,0.5429904190005674,0.06667858671524685,44,0.5211467499290378,24,0.43272727272727274
49,st7x3_rsi14>50_adx14>30,0.18725622033121403,0.09797400090587915,25,0.2886744252057905,11,0.19584415584415585
50,st7x3_rsi14>60_adxnone,0.5443004868419454,-0.05762930104684527,47,0.5342038035764973,29,0.4857142857142857
51,st7x3_rsi14>60_adx7>20,0.5267686363860595,0.009195988161419866,47,0.5336361055918252,28,0.4779220779220779
52,st7x3_rsi14>60_adx7>30,0.4452001476280121,-0.008933734169859986,42,0.48112404200965087,25,0.4296103896103896
53,st7x3_rsi14>60_adx14>20,0.5447071860485133,0.02482600762447973,37,0.4308827703661652,22,0.3890909090909091
54,st7x3_rsi14>60_adx14>30,0.11198806058098398,0.035597973808848105,21,0.22821458983820608,10,0.1703896103896104
55,st7x3_rsi28>40_adxnone,0.6427376203526749,-0.060061097473233516,51,0.5932443939824014,31,0.5298701298701298
56,st7x3_rsi28>40_adx7>20,0.6427376203526749,-0.028137420152119397,51,0.5932443939824014,31,0.5257142857142857
57,st7x3_rsi28>40_adx7>30,0.5766685258623814,-0.045213602838657385,46,0.5271075787680953,27,0.4649350649350649
58,st7x3_rsi28>40_adx14>20,0.5018894083923158,0.10183990134474974,45,0.5214305989213738,25,0.43324675324675327
59,st7x3_rsi28>40_adx14>30,0.18725622033121403,0.09797400090587915,25,0.2886744252057905,11,0.19584415584415585
60,st7x3_rsi28>50_adxnone,0.5958338794465479,-0.10718560986319448,50,0.5776326994039171,31,0.5194805194805194
61,st7x3_rsi28>50_adx7>20,0.5691279274590586,-0.0596224278999381,50,0.5767811524269089,31,0.5132467532467533
62,st7x3_rsi28>50_adx7>30,0.5636102186549004,-0.06781331695730841,44,0.5157536190746523,27,0.4638961038961039
63,st7x3_rsi28>50_adx14>20,0.46324531868422514,0.07139324757983823,43,0.4910587567414136,23,0.4212987012987013
64,st7x3_rsi28>50_adx14>30,0.15723743638225574,0.01657975277637913,24,0.275617371558331,11,0.18753246753246752
65,st7x3_rsi28>60_adxnone,-0.10275008060644408,-0.03959291695180189,35,0.382344592676696,18,0.31532467532467534
66,st7x3_rsi28>60_adx7>20,-0.10275008060644408,0.02953122143654685,35,0.382344592676696,17,0.3080519480519481
67,st7x3_rsi28>60_adx7>30,0.0406021444578184,0.011557637467595416,31,0.3499858075503832,16,0.2825974025974026
68,st7x3_rsi28>60_adx14>20,0.08521205378266794,0.043632520772981076,30,0.34572807266534206,15,0.26025974025974025
69,st7x3_rsi28>60_adx14>30,0.10263417843552158,0.00483702024822219,18,0.2055066704513199,10,0.16883116883116883
70,st7x4_rsinone_adxnone,0.26913793899924787,0.07947439017498148,38,0.5713880215725234,21,0.5672727272727273
71,st7x4_rsinone_adx7>20,0.26913793899924787,0.07832425715989122,38,0.5713880215725234,21,0.5667532467532468
72,st7x4_rsinone_adx7>30,0.32610831721278366,-0.11940751262031557,37,0.5200113539596934,21,0.52
73,st7x4_rsinone_adx14>20,0.06930982710432931,0.11784890121014824,37,0.5154697700823162,19,0.49766233766233764
74,st7x4_rsinone_adx14>30,0.09080606452871898,0.0929168713240971,21,0.3156400794777178,9,0.2607792207792208
