config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,0.7143949129145806,1.1106646844762706,93,0.63241555492478,58,0.6706493506493506
1,st7x2_rsinone_adx7>20,0.6887311513768481,1.1990469950111402,93,0.6278739710474028,58,0.6654545454545454
2,st7x2_rsinone_adx7>30,0.12879419305815043,0.8643709513486901,75,0.4740278172012489,48,0.5444155844155845
3,st7x2_rsinone_adx14>20,0.3375386305869159,0.9422065379714373,73,0.47629860913993755,48,0.545974025974026
4,st7x2_rsinone_adx14>30,-0.02697433147205508,0.5723126888017509,34,0.21458983820607436,25,0.26181818181818184
5,st7x2_rsi14>40_adxnone,0.7143949129145806,1.1419704889858706,93,0.63241555492478,58,0.6696103896103897
6,st7x2_rsi14>40_adx7>20,0.6887311513768481,1.2316637037851828,93,0.6278739710474028,58,0.6644155844155845
7,st7x2_rsi14>40_adx7>30,0.12879419305815043,0.892023677509098,75,0.4740278172012489,48,0.5433766233766234
8,st7x2_rsi14>40_adx14>20,0.3375386305869159,0.9922568093932427,73,0.47629860913993755,47,0.5438961038961039
9,st7x2_rsi14>40_adx14>30,-0.02697433147205508,0.595633547877854,34,0.21458983820607436,25,0.2607792207792208
10,st7x2_rsi14>50_adxnone,0.6727443467948562,0.9661992056882303,92,0.6267385750780585,57,0.6503896103896104
11,st7x2_rsi14>50_adx7>20,0.6477040764893751,1.0746227768491843,92,0.6221969912006813,55,0.6441558441558441
12,st7x2_rsi14>50_adx7>30,0.15198790003745422,0.47459640010610626,73,0.4621061595231337,47,0.5033766233766234
13,st7x2_rsi14>50_adx14>20,0.3193456357476725,0.8287711134669085,72,0.47090547828555207,46,0.5246753246753246
14,st7x2_rsi14>50_adx14>30,-0.04020927703636823,0.4068432804491542,33,0.2091967073516889,22,0.2212987012987013
15,st7x2_rsi14>60_adxnone,0.6865162610787283,0.6449284706582767,72,0.49389724666477436,46,0.532987012987013
16,st7x2_rsi14>60_adx7>20,0.6975106546041792,0.6339847761731687,70,0.4771501561169458,46,0.5298701298701298
17,st7x2_rsi14>60_adx7>30,0.3169062316316005,0.5701546282932672,58,0.3797899517456713,39,0.44311688311688313
18,st7x2_rsi14>60_adx14>20,0.31380984075744034,0.347892489272041,51,0.3298325290945217,35,0.38233766233766237
19,st7x2_rsi14>60_adx14>30,-0.05819013200221568,0.07490766854224207,17,0.08373545273914278,19,0.15012987012987014
20,st7x2_rsi28>40_adxnone,0.7143949129145806,1.1106646844762706,93,0.63241555492478,58,0.6706493506493506
21,st7x2_rsi28>40_adx7>20,0.6887311513768481,1.1990469950111402,93,0.6278739710474028,58,0.6654545454545454
22,st7x2_rsi28>40_adx7>30,0.12879419305815043,0.8643709513486901,75,0.4740278172012489,48,0.5444155844155845
23,st7x2_rsi28>40_adx14>20,0.3375386305869159,0.9422065379714373,73,0.47629860913993755,48,0.545974025974026
24,st7x2_rsi28>40_adx14>30,-0.02697433147205508,0.5723126888017509,34,0.21458983820607436,25,0.26181818181818184
25,st7x2_rsi28>50_adxnone,0.718345150726114,0.9221188444862338,88,0.5966505818904343,56,0.6311688311688312
26,st7x2_rsi28>50_adx7>20,0.7062009638157427,0.9384875408545501,88,0.591825149020721,56,0.6223376623376623
27,st7x2_rsi28>50_adx7>30,0.27641896843806624,0.5997471426199692,69,0.43627590122055065,46,0.49714285714285716
28,st7x2_rsi28>50_adx14>20,0.3121949402268731,0.6739909272019968,68,0.43372126028952596,45,0.49506493506493504
29,st7x2_rsi28>50_adx14>30,0.09990203382522878,0.09927785872445094,24,0.15299460686914562,21,0.1683116883116883
30,st7x2_rsi28>60_adxnone,0.17676112767330587,0.13523866191926892,52,0.34601192165767813,36,0.37142857142857144
31,st7x2_rsi28>60_adx7>20,0.16424967076594132,0.12617085834565755,52,0.3448765256883338,36,0.3703896103896104
32,st7x2_rsi28>60_adx7>30,-0.014668654152361738,0.18390439730313335,49,0.3042861197842748,30,0.31584415584415587
33,st7x2_rsi28>60_adx14>20,-0.0008181465767653773,0.09543473621446363,46,0.2770366165200114,32,0.3168831168831169
34,st7x2_rsi28>60_adx14>30,-0.028884143896143133,-0.03402339666935428,16,0.08146466080045416,19,0.13090909090909092
35,st7x3_rsinone_adxnone,1.0557369743385991,1.0232549173334724,53,0.6034629577065002,35,0.6051948051948052
36,st7x3_rsinone_adx7>20,1.1423754243202175,0.9273219895900078,52,0.5940959409594095,35,0.601038961038961
37,st7x3_rsinone_adx7>30,0.7496987046624659,0.7846683023118748,49,0.5282429747374396,31,0.5314285714285715
38,st7x3_rsinone_adx14>20,0.5084827266436103,0.9292855389294641,44,0.4561453306840761,27,0.4618181818181818
39,st7x3_rsinone_adx14>30,0.2650462428700935,0.09986408217515441,15,0.16349701958558047,16,0.1761038961038961
40,st7x3_rsi14>40_adxnone,1.0557369743385991,1.0232549173334724,53,0.6034629577065002,35,0.6051948051948052
41,st7x3_rsi14>40_adx7>20,1.1423754243202175,0.9273219895900078,52,0.5940959409594095,35,0.601038961038961
42,st7x3_rsi14>40_adx7>30,0.7496987046624659,0.7846683023118748,49,0.5282429747374396,31,0.5314285714285715
43,st7x3_rsi14>40_adx14>20,0.5084827266436103,0.9292855389294641,44,0.4561453306840761,27,0.4618181818181818
44,st7x3_rsi14>40_adx14>30,0.2650462428700935,0.09986408217515441,15,0.16349701958558047,16,0.1761038961038961
45,st7x3_rsi14>50_adxnone,1.0557369743385991,1.0232549173334724,53,0.6034629577065002,35,0.6051948051948052
46,st7x3_rsi14>50_adx7>20,1.1423754243202175,0.9273219895900078,52,0.5940959409594095,35,0.601038961038961
47,st7x3_rsi14>50_adx7>30,0.7804829968728189,0.7846683023118748,48,0.5276752767527675,31,0.5314285714285715
48,st7x3_rsi14>50_adx14>20,0.5084827266436103,0.9292855389294641,44,0.4561453306840761,27,0.4618181818181818
49,st7x3_rsi14>50_adx14>30,0.2650462428700935,0.09986408217515441,15,0.16349701958558047,16,0.1761038961038961
50,st7x3_rsi14>60_adxnone,0.8916186457070199,0.6322190973080895,49,0.5529378370706785,34,0.5636363636363636
51,st7x3_rsi14>60_adx7>20,0.9536955587374116,0.6124210506484029,47,0.5350553505535055,34,0.5625974025974027
52,st7x3_rsi14>60_adx7>30,0.7582182846356302,0.5663354235764406,44,0.4845302299176838,30,0.5018181818181818
53,st7x3_rsi14>60_adx14>20,0.47789674031670515,0.4387295525572241,39,0.41441952881067273,27,0.41818181818181815
54,st7x3_rsi14>60_adx14>30,0.09809650408729098,0.1040352560672313,14,0.14164064717570252,15,0.1677922077922078
55,st7x3_rsi28>40_adxnone,1.0557369743385991,1.0232549173334724,53,0.6034629577065002,35,0.6051948051948052
56,st7x3_rsi28>40_adx7>20,1.1423754243202175,0.9273219895900078,52,0.5940959409594095,35,0.601038961038961
57,st7x3_rsi28>40_adx7>30,0.7496987046624659,0.7846683023118748,49,0.5282429747374396,31,0.5314285714285715
58,st7x3_rsi28>40_adx14>20,0.5084827266436103,0.9292855389294641,44,0.4561453306840761,27,0.4618181818181818
59,st7x3_rsi28>40_adx14>30,0.2650462428700935,0.09986408217515441,15,0.16349701958558047,16,0.1761038961038961
60,st7x3_rsi28>50_adxnone,0.9486412385132275,0.9536437367270614,53,0.6017598637524837,35,0.601038961038961
61,st7x3_rsi28>50_adx7>20,1.0307661691743224,0.8610114332905094,52,0.5923928470053932,35,0.5968831168831169
62,st7x3_rsi28>50_adx7>30,0.6808169788514615,0.7819090547714007,49,0.5268237297757593,31,0.5303896103896104
63,st7x3_rsi28>50_adx14>20,0.42989676472027427,0.811893883347186,44,0.4544422367300596,27,0.45194805194805193
64,st7x3_rsi28>50_adx14>30,0.09809650408729098,0.09986408217515441,14,0.14164064717570252,16,0.1761038961038961
65,st7x3_rsi28>60_adxnone,0.20307636361754589,0.2016677963016711,38,0.39767243826284415,27,0.4005194805194805
66,st7x3_rsi28>60_adx7>20,0.20269069195643485,0.19485269807342265,38,0.3973885892705081,27,0.4
67,st7x3_rsi28>60_adx7>30,0.15593183739040395,0.3536965897720321,38,0.3905762134544422,22,0.35064935064935066
68,st7x3_rsi28>60_adx14>20,0.10759203880889534,0.21024027892653607,35,0.3428895827419813,24,0.3485714285714286
69,st7x3_rsi28>60_adx14>30,0.1322656120798773,-0.007847596752731056,13,0.1393698552370139,15,0.14857142857142858
70,st7x4_rsinone_adxnone,0.8392665493986782,0.7318425272104838,36,0.5659948907181379,23,0.6036363636363636
71,st7x4_rsinone_adx7>20,0.8269764536214932,0.7318425272104838,36,0.5617371558330968,23,0.6036363636363636
72,st7x4_rsinone_adx7>30,0.8991188773513985,0.6870712405424033,35,0.5327845586148169,21,0.5532467532467532
73,st7x4_rsinone_adx14>20,0.76473013561803,0.4238834714192177,30,0.4694862333238717,20,0.48103896103896104
74,st7x4_rsinone_adx14>30,0.24943595144273156,0.1270977395615629,13,0.21998296906045983,14,0.252987012987013
75,st7x4_rsi14>40_adxnone,0.8392665493986782,0.7318425272104838,36,0.5659948907181379,23,0.6036363636363636
76,st7x4_rsi14>40_adx7>20,0.8269764536214932,0.7318425272104838,36,0.5617371558330968,23,0.6036363636363636
77,st7x4_rsi14>40_adx7>30,0.8991188773513985,0.6870712405424033,35,0.5327845586148169,21,0.5532467532467532
78,st7x4_rsi14>40_adx14>20,0.76473013561803,0.4238834714192177,30,0.4694862333238717,20,0.48103896103896104
79,st7x4_rsi14>40_adx14>30,0.24943595144273156,0.1270977395615629,13,0.21998296906045983,14,0.252987012987013
80,st7x4_rsi14>50_adxnone,0.8392665493986782,0.7318425272104838,36,0.5659948907181379,23,0.6036363636363636
81,st7x4_rsi14>50_adx7>20,0.8269764536214932,0.7318425272104838,36,0.5617371558330968,23,0.6036363636363636
82,st7x4_rsi14>50_adx7>30,0.948476260800504,0.6555835272571817,34,0.5307976156684644,21,0.5516883116883117
83,st7x4_rsi14>50_adx14>20,0.747116132604394,0.4238834714192177,30,0.4692023843315356,20,0.48103896103896104
84,st7x4_rsi14>50_adx14>30,0.24943595144273156,0.1270977395615629,13,0.21998296906045983,14,0.252987012987013
85,st7x4_rsi14>60_adxnone,0.7727737516959818,0.6501358867488662,36,0.5600340618790803,23,0.5963636363636363
86,st7x4_rsi14>60_adx7>20,0.7950945913460521,0.6364240401840113,35,0.5449900652852683,23,0.5958441558441558
87,st7x4_rsi14>60_adx7>30,0.8999434795774663,0.5978036886077778,33,0.518024411013341,21,0.5449350649350649
88,st7x4_rsi14>60_adx14>20,0.7461897458877917,0.3959073067614678,29,0.46466080045415836,20,0.4763636363636364
89,st7x4_rsi14>60_adx14>30,0.24943595144273156,0.1270977395615629,13,0.21998296906045983,14,0.252987012987013
90,st7x4_rsi28>40_adxnone,0.8392665493986782,0.7318425272104838,36,0.5659948907181379,23,0.6036363636363636
91,st7x4_rsi28>40_adx7>20,0.8269764536214932,0.7318425272104838,36,0.5617371558330968,23,0.6036363636363636
92,st7x4_rsi28>40_adx7>30,0.8991188773513985,0.6870712405424033,35,0.5327845586148169,21,0.5532467532467532
93,st7x4_rsi28>40_adx14>20,0.76473013561803,0.4238834714192177,30,0.4694862333238717,20,0.48103896103896104
94,st7x4_rsi28>40_adx14>30,0.24943595144273156,0.1270977395615629,13,0.21998296906045983,14,0.252987012987013
95,st7x4_rsi28>50_adxnone,0.8392665493986782,0.7318425272104838,36,0.5659948907181379,23,0.6036363636363636
96,st7x4_rsi28>50_adx7>20,0.8269764536214932,0.7318425272104838,36,0.5617371558330968,23,0.6036363636363636
97,st7x4_rsi28>50_adx7>30,0.948476260800504,0.6756550728796402,34,0.5307976156684644,21,0.5527272727272727
98,st7x4_rsi28>50_adx14>20,0.747116132604394,0.4238834714192177,30,0.4692023843315356,20,0.48103896103896104
99,st7x4_rsi28>50_adx14>30,0.24943595144273156,0.1270977395615629,13,0.21998296906045983,14,0.252987012987013
100,st7x4_rsi28>60_adxnone,0.4269532336877686,0.33043248452074536,29,0.44507521998296906,19,0.4535064935064935
101,st7x4_rsi28>60_adx7>20,0.42649579354464384,0.3228871145807668,29,0.444791370990633,19,0.452987012987013
102,st7x4_rsi28>60_adx7>30,0.39831877654725534,0.4482509040872362,29,0.43911439114391143,17,0.4348051948051948
103,st7x4_rsi28>60_adx14>20,0.37406284078303154,0.35119940266448935,26,0.4010786261708771,18,0.4228571428571429
104,st7x4_rsi28>60_adx14>30,0.308890576650507,0.012877736336050827,12,0.21572523417541867,14,0.23376623376623376
