config_index,config_label,tune_return,holdout_return,tune_trades,tune_exposure,holdout_trades,holdout_exposure
0,st7x2_rsinone_adxnone,-0.026753383965063993,0.42158975564564005,89,0.5702526256031791,56,0.535064935064935
1,st7x2_rsinone_adx7>20,-0.12521118729369296,0.306179803454369,89,0.562304853817769,56,0.5158441558441559
2,st7x2_rsinone_adx7>30,0.06989829492396238,0.0031358543241462034,66,0.4061879080329265,41,0.37142857142857144
3,st7x2_rsinone_adx14>20,-0.07747310963545817,0.013366521400513864,64,0.39398240136247514,39,0.35428571428571426
4,st7x2_rsinone_adx14>30,0.3110009671359373,0.26657781870628017,22,0.16860630144762986,14,0.16935064935064936
5,st7x2_rsi14>40_adxnone,-0.026753383965063993,0.8407813746736519,89,0.5702526256031791,55,0.532987012987013
6,st7x2_rsi14>40_adx7>20,-0.12521118729369296,0.6913398852411561,89,0.562304853817769,55,0.5137662337662338
7,st7x2_rsi14>40_adx7>30,0.06989829492396238,0.29893577916829805,66,0.4061879080329265,40,0.3693506493506494
8,st7x2_rsi14>40_adx14>20,-0.07747310963545817,0.3121832166444545,64,0.39398240136247514,38,0.3522077922077922
9,st7x2_rsi14>40_adx14>30,0.3110009671359373,0.6400602557735924,22,0.16860630144762986,13,0.16727272727272727
10,st7x2_rsi14>50_adxnone,-0.09353870837889522,0.7629051526016819,89,0.5532216860630145,53,0.49818181818181817
11,st7x2_rsi14>50_adx7>20,-0.19113084863069707,0.46464309333632836,88,0.5432869713312518,53,0.4696103896103896
12,st7x2_rsi14>50_adx7>30,-0.07147853036031893,0.08154970841713349,65,0.378654555776327,39,0.3412987012987013
13,st7x2_rsi14>50_adx14>20,-0.1701894443120715,0.0770169169702215,64,0.37553221686063015,37,0.32155844155844154
14,st7x2_rsi14>50_adx14>30,0.2795550293149487,0.4642865046125333,19,0.13284132841328414,11,0.14025974025974025
15,st7x2_rsi14>60_adxnone,0.21780766551320507,0.3708856670904932,61,0.3917116094237865,40,0.37454545454545457
