date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,JPM,JNJ,XOM,PG,KO,WMT,DIS,INTC,CSCO,BA,GE,PFE,T,SPY,QQQ
2005-01-03,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-04,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-05,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-06,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-07,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-10,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-11,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-12,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-13,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-18,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-19,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-20,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-24,0.0,-0.003993794712275955,0.0,0.0,,-0.03521105627419746,,4.260600739253205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022538546938694892,0.0,0.0,-0.01990178329175446,0.0,0.0,-0.016394401119745272
2005-01-25,0.0,0.013634434975272613,0.0,-0.026992274552796236,,0.017492308145339308,,-0.0005420204640935733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013520827685723713,0.0,0.0,0.013602557562182094,0.0,0.0,0.004927639766262093
2005-01-26,0.0,-0.00038422357442924326,0.0,0.06842858109422356,,0.01289434420032709,,-0.000814017935164224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010279758250054893,0.0,0.0,0.0,0.0,0.0,0.01198582309788887
2005-01-27,0.0,0.0038449981118886534,0.0,-0.006130040992304964,,0.08015255073995098,,-0.002172027295644252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027699406525370618,0.0,0.0,0.0036602576370770024,0.0,0.0,-0.0013463502849072606
2005-01-28,0.0,0.002680933389978435,0.0,0.012016298007381465,,-0.001309382792192837,,0.006802691267699945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015401780290352107,0.0,0.0,-0.013371069529499624,0.00417878796211596,0.0,-0.004851571020140888
2005-01-31,0.0,0.0038194973274587873,0.0,0.027739711906707987,,0.0017463384266993565,,0.008918865572257184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00782135290417929,0.0,0.0,-0.007802985433603138,0.005926893147404799,0.0,0.013001101904561274
2005-02-01,0.0,0.0041861286696482924,0.0,-0.019016450571978316,,0.01875958048356763,,0.004553972831522701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004988832903161766,0.0,0.0,-0.012417373850117541,0.006734124597140845,0.0,0.003209114960347259
2005-02-02,0.0,0.002651748876688842,0.0,0.07326758635981179,,0.0556776035431128,,0.0005332379626763473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011029621392082412,0.0,0.0,0.008801153289220709,0.019649037985049356,0.0,0.0015988871406213967
2005-02-03,0.0,-0.010581470127649761,0.0,0.02379080914079923,,-0.010548934796694165,,-0.003464557321870565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03471076561005548,0.0,0.0,-0.0066467848793010376,0.009430009840615483,0.0,-0.011442297748790353
2005-02-04,0.0,0.00534731754468698,0.0014635257700050257,-0.03082597420226363,,0.05740228585123086,,0.008023715326321179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021689662763438644,0.0,0.0,0.013383480624554522,-0.0008127351565810903,0.0,0.01615077385731256
2005-02-07,0.0,-0.006078563994570851,-0.0008398714889160663,-0.04076136807850095,,-0.012023285379766269,,0.007428407630618583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014524989814583389,0.0,0.0,0.02806423253898016,-0.005283798004954043,0.0,-0.002119613351937333
2005-02-08,0.0,0.0030575499147207363,0.017091652737762253,0.013314286336687742,,0.009814585341403337,,-0.00553031334936116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00440562587342197,0.0,0.0,0.025692316829412087,0.0057207810728079345,0.0,0.0018584078378214297
2005-02-09,0.0,-0.006478629844809625,-0.011294800688642082,-0.03554193638226966,,-0.03497875554759322,,-0.00688569448507137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03344309212358432,0.0,0.0,-0.01222352948810801,-0.009345712743367818,0.0,-0.01669250720878679
2005-02-10,0.0,-0.00038370040672242034,-0.003064897750050033,-0.018791034570700194,,0.023357492863388618,,-0.0013334529046524768,0.0,0.0,-0.001854221255251642,0.0,0.0,0.0,0.0,-0.0028360291710680663,0.0,0.0,0.0,-0.011484732432910372,0.0,0.0010774193439289093
2005-02-11,0.0,-0.0034531323040655204,0.0,-0.003085207285509761,,0.02912353433149617,,0.0008013730346667636,0.0,0.0,0.01026775885020692,0.0,0.0,0.0,0.0,0.006825743650704652,0.0,0.0,0.003991620971665721,0.006639118515508358,0.0,0.014805087185486565
2005-02-14,0.0,0.0015399599930130403,0.006987103540829098,0.02982912947870897,,-0.02103541931229458,,0.0005334328620971718,0.0,0.0,0.010546673405868345,0.0,0.0,0.0,0.0,0.01525458197127727,0.0,0.0,0.013121267762731259,0.004534217406413132,0.0,0.004508442018741343
2005-02-15,0.0,2.1425376761641246e-07,0.0030530548514278166,0.011606821681443336,,0.008985932757582304,,0.0013334529046520327,0.0,0.0,0.014800607884812411,0.0,0.0,0.0,0.0,-0.002782949167929538,0.0,0.0,-0.010203831196207824,0.006154735189903615,0.0,0.006602525748394372
2005-02-16,0.0,-0.005398979530949255,-0.013281708961114469,0.01628834496971887,,-0.0034840143953051017,,-0.005858968424351185,0.0,0.0,-0.0031786890156531022,0.0,0.0,0.0,0.0,-0.011718648192044046,0.0,0.0,-0.010706257200941538,-0.00040762114239600855,0.0,-0.003673054090915895
2005-02-17,0.0,-0.005428609865074763,0.0008412846308669675,-0.0025703224895752275,,-0.008936965728796098,,-0.014733700657652338,0.0,0.0,0.0003749301275453032,0.0,0.0,0.0,0.0,-0.014680654177146035,0.0,0.0,0.004408952378362363,-0.010608242614206898,0.0,-0.013428213658942978
2005-02-18,0.0,-0.006627623693838625,-0.010647270033790734,0.0002527180064593182,,0.1081928848889202,,-0.007340547741027104,0.0,0.0,0.003187304992180673,0.0,0.0,0.0,0.0,-0.008596275515531548,0.0,0.0,0.06943353474091318,-0.002886050863044498,0.0,-0.003202760597084686
2005-02-22,0.0,-0.00981234701254119,-0.016709152350016687,-0.0332405412357335,,-0.007219656382987327,,-0.015886065034569796,0.0,0.0,-0.023364156695765526,0.0,0.0,0.0,0.0,0.0005784553745495913,0.0,0.0,-0.007835766046859094,-0.006203799100101048,0.0,-0.012315936316467657
2005-02-23,0.0,-0.0011888505242315661,-0.016705026285443236,0.01348159157242712,,0.0,,0.015307324867686711,0.0,0.0,0.02373213020976106,0.0,0.0,0.0,0.0,-0.0017333317408082527,0.0,0.0,-0.010530073294040432,0.0045774995682326125,0.0,0.0013557790629339372
2005-02-24,0.0,0.006746307977634425,0.016110154131254717,-0.026089278167842456,,0.0,,0.005482580121046965,0.0,0.0,0.006356709175271202,0.0,0.0,0.0,0.0,-0.005787202117214063,0.0,0.0,0.003420356568130556,0.0008284270117597803,0.0,0.01272334287391419
2005-02-25,0.0,-0.004729924373108929,0.008648016868131325,-0.015988292163912843,,0.0,,0.00790635713826271,0.0,0.0,0.006687349452006108,0.0,0.0,0.0,0.0,0.001164645275818943,0.0,0.0,0.017424597765722583,0.0020695288631009667,0.0,0.0056134897250372795
2005-02-28,0.0,-0.003564714704010874,0.005430069903862522,0.011405969751665967,,0.0,,-0.011360889160429544,0.0,0.0,-0.020299091349015197,0.0,0.0,0.0,0.0,0.012790401037725552,0.0,0.0,-0.021221330255231985,-0.0061954137181805535,0.0,-0.010632425322749217
2005-03-01,0.0,0.004770177283529353,0.005969342676974465,-0.010266388074851363,,0.0,,0.01477430469309482,0.0,0.0,0.007911323562825201,0.0,0.0,0.0,0.0,0.004591836081237144,0.0,0.0,0.012172191498129425,0.010806650344048485,0.0,0.011015729237783045
2005-03-02,0.0,-0.0007912551200556228,0.003108199456710148,-0.004729842265188244,,0.0,,-0.002696024625996052,0.0,0.0,0.001494763466741711,0.0,0.0,0.0,0.0,0.013715262328211741,0.0,0.0,0.0,0.0,0.0,-0.0005315036204067702
2005-03-03,0.0,-0.0035630827632392448,0.004225381719903387,0.00988222868122235,,0.0,,0.0005406807114809453,0.0,0.0,-0.0020522807037981483,0.0,0.0,0.0,0.0,0.003381628213907195,0.0,0.0,-0.000751827262786442,0.0016442411254309341,0.0,-0.008242925496648623
2005-03-04,0.0,0.0,0.005610092736466177,-0.005935499771035024,,0.0,,0.013509350607871395,0.0,0.0,0.006918407076994537,0.0,0.0,0.0,0.0,0.013483348682319818,0.0,0.0,0.009777966008254646,0.005336898775794019,0.0,0.005898448174627813
2005-03-07,0.0,0.011918382356105983,0.013110162018225013,0.015653786660543734,,0.0,,-0.004531406051168196,0.0,0.0,-0.002785742624251575,0.0,0.0,0.0,0.0,0.011086542691883583,0.0,0.0,0.012290687271432787,-0.0028589214834510157,0.0,0.014392373606409548
2005-03-08,0.0,-0.0027477000799313034,-0.013491196367635183,-0.01911999176819723,,0.0,,-0.010712701847939932,0.0,0.0,-0.006517793647054848,0.0,0.0,0.0,0.0,-0.006579166792724078,0.0,0.0,-0.015452894775842108,-0.010237242487614595,0.0,-0.009984594241819633
2005-03-09,0.0,-0.0035434439615618096,-0.012001111777192652,-0.02078829935782578,,0.0,,-0.012723150990519794,0.0,0.0,-0.006560553984133799,0.0,0.0,0.0,0.0,0.022627061900035272,0.0,0.0,-0.0007466672923583939,-0.0028959539980831783,0.0,-0.002919986933456964
2005-03-10,0.0,0.004741246473698002,-0.013841815063151297,-0.00755438614951065,,0.0,,-0.0030160061923236725,0.0,0.0,0.0050946005008811746,0.0,0.0,0.0,0.0,0.00971382060568704,0.0,0.0,0.0003738019731971409,0.0008302713190033728,0.0,-0.0013298684651338322
2005-03-11,0.0,-0.013370249776945786,-0.004583223349586385,-0.012112588116107381,,0.0,,-0.006875471681393686,0.0,0.0,-0.014267162504396302,0.0,0.0,0.0,0.0,-0.013896010584044882,0.0,0.0,-0.014579833404160025,-0.004975735912901458,0.0,-0.009329002015946553
2005-03-14,0.0,0.000797358200162801,-0.004316508459640267,-0.01580434946065834,,0.0,,0.009415380359952152,0.0,0.0,0.014092423662790843,0.0,0.0,0.0,0.0,0.004877808105473447,0.0,0.0,0.006449413752525501,0.003750080155104918,0.0,0.004573754757506876
2005-03-15,0.0,-0.007965127386614923,-0.012138744176316218,0.02068706928733155,,0.0,,-0.005487275375426037,0.0,0.0,-0.006197327341930126,0.0,0.0,0.0,0.0,-0.015642005602728215,0.0,0.0,-0.009046461744210421,-0.017849614449924833,0.0,-0.008034237703260283
2005-03-16,0.0,-0.01124044441232852,-0.009069601833297969,-0.016852291115281304,,0.0,,0.0,0.0,0.0,-0.002078133602841814,0.0,0.0,0.0,0.0,-0.009863019950821839,0.0,0.0,-0.009128758415473337,-0.01014327956314276,0.0,-0.011339069577785632
2005-03-17,0.0,-0.0036545607743284636,0.0029524624196859417,0.021013499406167924,,0.0,,-0.002758312922045869,0.0,0.0,-0.0011362939322216992,0.0,0.0,0.0,0.0,-0.0022134139304649247,0.0,0.0,-0.0015359788765000326,-0.0008541967192760014,0.0,0.0024577950703579265
2005-03-18,0.0,-0.009371740342357882,0.005593115858442799,0.004183388005697175,,0.0,,-0.0038729876196418322,0.0,0.0,0.01232225456481073,0.0,0.0,0.0,0.0,-0.012756641690104153,0.0,0.0,-0.006919812330873798,-0.0021367432244330242,0.0,-0.005448545419390771
2005-03-21,0.0,-0.004525379099339477,-0.014344200223594172,0.004665657442727511,,0.0,,-0.006109160739981245,0.0,0.0,-0.012359121755512237,0.0,0.0,0.0,0.0,0.007865377257088468,0.0,0.0,-0.0046465947417789755,-0.00599621325590638,0.0,0.0019178831942041619
2005-03-22,0.0,-0.008677183741647054,-0.015444028567175971,-0.012605207343436509,,0.0,,-0.02039685851600037,0.0,0.0,-0.013083273846768884,0.0,0.0,0.0,0.0,-0.0011152237283396094,0.0,0.0,-0.011278885551256779,-0.0073241462008767355,0.0,-0.012301980951743952
2005-03-23,0.0,0.007919564935719992,0.0009049836890049345,0.002127885292152021,,0.0,,-0.003708031681820989,0.0,0.0,0.014985576606570072,0.0,0.0,0.0,0.0,-0.009486457534259585,0.0,0.0,0.024390141875277882,0.015625208161649473,0.0,0.0035985782601135607
2005-03-24,0.0,0.004135797909389449,-0.009041582484239585,0.0015082923838865003,,0.0,,0.0,0.0,0.0,-0.0043535972289703295,0.0,0.0,0.0,0.0,0.00732382705347101,0.0,0.0,0.004991903943256881,-0.004273788692730429,0.0,0.0002755453842346878
2005-03-28,0.0,-0.003295148116919222,0.015510911855319831,0.012106008244160638,,0.0,,-0.0022900775094287784,0.0,0.0,-0.0017112456725159042,0.0,0.0,0.0,0.0,0.0005596080298055917,0.0,0.0,0.0022929209680904172,0.008154632596238276,0.0,0.0019297075790749574
2005-03-29,0.0,-0.011570228771403901,0.0011979480436001833,-0.010197205994821323,,0.0,,-0.007747739383959895,0.0,0.0,-0.012378244608787004,0.0,0.0,0.0,0.0,-0.007825807238510007,0.0,0.0,-0.02249336843399674,-0.006811586531753622,0.0,-0.007980321329475903
2005-03-30,0.0,0.010033527543252374,0.02662279042029425,0.004900573986744483,,0.0,,0.010699854725084057,0.0,0.0,0.02892398023832765,0.0,0.0,0.0,0.0,0.015774815718587742,0.0,0.0,0.025351082128828528,0.015859699371386426,0.0,0.018863156261320402
2005-03-31,0.0,0.0004143705643291362,-0.0014568403660447649,0.0003324812191816129,,0.0,,-0.010014244055318033,0.0,0.0,-0.006746969846561868,0.0,0.0,0.0,0.0,-0.0077647939689307055,0.0,0.0,-0.0007604008360171388,-0.0004220824312903826,0.0,-0.00435670583979797
