file,prompt_key,model,run,n_picks,tickers,refused,in_universe_count
asof2019_haiku_01.json,asof2019,haiku,01,0,,True,0
asof2019_haiku_02.json,asof2019,haiku,02,0,,True,0
asof2019_haiku_03.json,asof2019,haiku,03,0,,True,0
asof2019_haiku_04.json,asof2019,haiku,04,0,,True,0
asof2019_haiku_05.json,asof2019,haiku,05,0,,True,0
asof2019_haiku_06.json,asof2019,haiku,06,0,,True,0
asof2019_haiku_07.json,asof2019,haiku,07,0,,True,0
asof2019_haiku_08.json,asof2019,haiku,08,0,,True,0
asof2019_haiku_09.json,asof2019,haiku,09,0,,True,0
asof2019_haiku_10.json,asof2019,haiku,10,0,,True,0
asof2019_opus_01.json,asof2019,opus,01,10,MSFT;AAPL;GOOGL;AMZN;V;UNH;COST;ADBE;NVDA;JPM,False,10
asof2019_opus_02.json,asof2019,opus,02,10,MSFT;GOOGL;AMZN;META;V;UNH;ADBE;NVDA;COST;JPM,False,10
asof2019_opus_03.json,asof2019,opus,03,10,MSFT;GOOGL;AMZN;V;UNH;TSM;ADBE;COST;JPM;TMO,False,9
asof2019_opus_04.json,asof2019,opus,04,10,MSFT;GOOGL;AMZN;META;NVDA;V;UNH;JPM;DIS;BA,False,10
asof2019_opus_05.json,asof2019,opus,05,10,MSFT;AAPL;AMZN;GOOGL;META;V;UNH;BA;DIS;BABA,False,9
asof2019_opus_06.json,asof2019,opus,06,10,MSFT;AMZN;GOOGL;META;V;UNH;NVDA;TSM;ADBE;COST,False,9
asof2019_opus_07.json,asof2019,opus,07,10,MSFT;GOOGL;AMZN;V;UNH;TSM;NVDA;ADBE;COST;JPM,False,9
asof2019_opus_08.json,asof2019,opus,08,10,MSFT;AAPL;AMZN;GOOGL;META;NVDA;V;UNH;BA;BABA,False,9
asof2019_opus_09.json,asof2019,opus,09,10,MSFT;AMZN;GOOGL;META;MA;ADBE;UNH;NVDA;JPM;BABA,False,9
asof2019_opus_10.json,asof2019,opus,10,10,MSFT;AAPL;AMZN;GOOGL;NVDA;TSM;ADBE;V;UNH;JPM,False,9
asof2019_sonnet_01.json,asof2019,sonnet,01,10,MSFT;AMZN;GOOGL;V;MA;ADBE;NVDA;NFLX;NOW;TMO,False,10
asof2019_sonnet_02.json,asof2019,sonnet,02,10,AMZN;MSFT;GOOGL;V;MA;ADBE;CRM;NFLX;UNH;NVDA,False,10
asof2019_sonnet_03.json,asof2019,sonnet,03,10,AMZN;MSFT;GOOGL;V;ADBE;CRM;NFLX;AAPL;UNH;NVDA,False,10
asof2019_sonnet_04.json,asof2019,sonnet,04,10,MSFT;AMZN;GOOGL;V;MA;ADBE;NVDA;NOW;COST;UNH,False,10
asof2019_sonnet_05.json,asof2019,sonnet,05,10,MSFT;AMZN;GOOGL;V;MA;ADBE;NVDA;HD;UNH;NFLX,False,10
asof2019_sonnet_06.json,asof2019,sonnet,06,10,MSFT;AMZN;GOOGL;V;MA;ADBE;UNH;HD;ASML;BABA,False,8
asof2019_sonnet_07.json,asof2019,sonnet,07,10,MSFT;AMZN;AAPL;GOOGL;V;MA;NVDA;ADBE;NFLX;CRM,False,10
asof2019_sonnet_08.json,asof2019,sonnet,08,10,MSFT;AMZN;GOOGL;V;ADBE;CRM;NVDA;UNH;COST;BRK-B,False,10
asof2019_sonnet_09.json,asof2019,sonnet,09,10,AMZN;MSFT;V;ADBE;NOW;NFLX;TSLA;GOOGL;ISRG;PYPL,False,10
asof2019_sonnet_10.json,asof2019,sonnet,10,10,AMZN;MSFT;GOOGL;V;MA;ADBE;NVDA;COST;UNH;TMO,False,10
now_haiku_01.json,now,haiku,01,0,,True,0
now_haiku_02.json,now,haiku,02,0,,True,0
now_haiku_03.json,now,haiku,03,0,,True,0
now_haiku_04.json,now,haiku,04,0,,True,0
now_haiku_05.json,now,haiku,05,0,,True,0
now_haiku_06.json,now,haiku,06,0,,True,0
now_haiku_07.json,now,haiku,07,0,,True,0
now_haiku_08.json,now,haiku,08,0,,True,0
now_haiku_09.json,now,haiku,09,0,,True,0
now_haiku_10.json,now,haiku,10,0,,True,0
now_opus_01.json,now,opus,01,10,MSFT;GOOGL;AMZN;TSM;AVGO;LLY;ISRG;V;JPM;GEV,False,8
now_opus_02.json,now,opus,02,10,TSM;AVGO;GOOGL;AMZN;META;VRT;GEV;LLY;JPM;V,False,7
now_opus_03.json,now,opus,03,10,TSM;AVGO;GOOGL;AMZN;GEV;LLY;JPM;MELI;UNH;BRK-B,False,7
now_opus_04.json,now,opus,04,10,GOOGL;MSFT;AMZN;META;TSM;AVGO;GEV;LLY;JPM;BRK-B,False,8
now_opus_05.json,now,opus,05,10,TSM;AVGO;GOOGL;AMZN;LLY;GEV;VRT;JPM;UBER;MA,False,6
now_opus_06.json,now,opus,06,10,TSM;AVGO;MU;GOOGL;AMZN;VRT;GEV;CEG;LLY;JPM,False,5
now_opus_07.json,now,opus,07,10,TSM;AVGO;GOOGL;AMZN;MSFT;CEG;GEV;LLY;JPM;MELI,False,6
now_opus_08.json,now,opus,08,10,TSM;AVGO;AMZN;GEV;LLY;ISRG;JPM;V;UBER;BRK-B,False,7
now_opus_09.json,now,opus,09,10,TSM;AVGO;GOOGL;AMZN;MU;GEV;LLY;JPM;CRWD;BRK-B,False,6
now_opus_10.json,now,opus,10,10,MSFT;GOOGL;AMZN;TSM;AVGO;GEV;LLY;JPM;V;BRK-B,False,8
now_sonnet_01.json,now,sonnet,01,10,NVDA;MSFT;AVGO;LLY;ISRG;ASML;CRWD;SHOP;PLTR;TSM,False,6
now_sonnet_02.json,now,sonnet,02,0,,True,0
now_sonnet_03.json,now,sonnet,03,0,,True,0
now_sonnet_04.json,now,sonnet,04,0,,True,0
now_sonnet_05.json,now,sonnet,05,0,,True,0
now_sonnet_06.json,now,sonnet,06,0,,True,0
now_sonnet_07.json,now,sonnet,07,0,,True,0
now_sonnet_08.json,now,sonnet,08,0,,True,0
now_sonnet_09.json,now,sonnet,09,0,,True,0
now_sonnet_10.json,now,sonnet,10,0,,True,0
